Mirna Name,Transcript Id,Gene Id,Gene name,miTG score
hsa-let-7b-5p,ENST00000373656,ENSG00000171448,ZBTB26,0.995330483
hsa-let-7b-5p,ENST00000504959,ENSG00000109762,SNX25,0.995288135
hsa-let-7b-5p,ENST00000373884,ENSG00000158156,XKR8,0.994840845
hsa-let-7b-5p,ENST00000268035,ENSG00000140443,IGF1R,0.994826371
hsa-let-7b-5p,ENST00000348849,ENSG00000153250,RBMS1,0.994760975
hsa-let-7b-5p,ENST00000274747,ENSG00000124532,MRS2,0.994757672
hsa-let-7b-5p,ENST00000382123,ENSG00000244242,IFITM10,0.994736829
hsa-let-7b-5p,ENST00000566749,ENSG00000149923,PPP4C,0.994584593
hsa-let-7b-5p,ENST00000379264,ENSG00000164398,ACSL6,0.994087128
hsa-let-7b-5p,ENST00000376088,ENSG00000171365,CLCN5,0.994021755
hsa-let-7b-5p,ENST00000577662,ENSG00000266076,CTD-2535L24.2,0.993823401
hsa-let-7b-5p,ENST00000353788,ENSG00000104497,SNX16,0.993648464
hsa-let-7b-5p,ENST00000379375,ENSG00000078401,EDN1,0.993527712
hsa-let-7b-5p,ENST00000289989,ENSG00000241852,C8orf58,0.993167529
hsa-let-7b-5p,ENST00000360844,ENSG00000254415,SIGLEC14,0.992623191
hsa-let-7b-5p,ENST00000251343,ENSG00000100441,KHNYN,0.992344192
hsa-let-7b-5p,ENST00000301807,ENSG00000168016,TRANK1,0.992018004
hsa-let-7b-5p,ENST00000296257,ENSG00000163904,SENP2,0.991996651
hsa-let-7b-5p,ENST00000369512,ENSG00000134259,NGF,0.991903815
hsa-let-7b-5p,ENST00000503750,ENSG00000151883,PARP8,0.991842711
hsa-let-7b-5p,ENST00000454782,ENSG00000179165,PXT1,0.991216229
hsa-let-7b-5p,ENST00000326877,ENSG00000178177,LCORL,0.991184136
hsa-let-7b-5p,ENST00000309241,ENSG00000155846,PPARGC1B,0.990835467
hsa-let-7b-5p,ENST00000419235,ENSG00000112679,DUSP22,0.990821785
hsa-let-7b-5p,ENST00000264444,ENSG00000059728,MXD1,0.990807196
hsa-let-7b-5p,ENST00000209875,ENSG00000094916,CBX5,0.990799255
hsa-let-7b-5p,ENST00000585315,ENSG00000150394,CDH8,0.990710472
hsa-let-7b-5p,ENST00000491143,ENSG00000119547,ONECUT2,0.990380891
hsa-let-7b-5p,ENST00000600109,ENSG00000269636,AC010441.1,0.989851053
hsa-let-7b-5p,ENST00000374179,ENSG00000107643,MAPK8,0.989634246
hsa-let-7b-5p,ENST00000355832,ENSG00000225830,ERCC6,0.989584341
hsa-let-7b-5p,ENST00000585130,ENSG00000184060,ADAP2,0.989405703
hsa-let-7b-5p,ENST00000394605,ENSG00000157224,CLDN12,0.989322637
hsa-let-7b-5p,ENST00000488423,ENSG00000154813,DPH3,0.989254801
hsa-let-7b-5p,ENST00000445470,ENSG00000128510,CPA4,0.988947286
hsa-let-7b-5p,ENST00000220597,ENSG00000076641,PAG1,0.988825979
hsa-let-7b-5p,ENST00000373850,ENSG00000119397,CNTRL,0.988410061
hsa-let-7b-5p,ENST00000424479,ENSG00000147535,PPAPDC1B,0.988403822
hsa-let-7b-5p,ENST00000523505,ENSG00000253276,CCDC71L,0.98834879
hsa-let-7b-5p,ENST00000297977,ENSG00000165259,HDX,0.988288786
hsa-let-7b-5p,ENST00000398675,ENSG00000151233,GXYLT1,0.988284325
hsa-let-7b-5p,ENST00000241416,ENSG00000121989,ACVR2A,0.988271788
hsa-let-7b-5p,ENST00000258499,ENSG00000136014,USP44,0.98759649
hsa-let-7b-5p,ENST00000370021,ENSG00000134186,PRPF38B,0.987570495
hsa-let-7b-5p,ENST00000576409,ENSG00000123472,ATPAF1,0.98741762
hsa-let-7b-5p,ENST00000375856,ENSG00000185950,IRS2,0.987351819
hsa-let-7b-5p,ENST00000551118,ENSG00000138346,DNA2,0.987265285
hsa-let-7b-5p,ENST00000352385,ENSG00000103742,IGDCC4,0.986880402
hsa-let-7b-5p,ENST00000340067,ENSG00000188997,KCTD21,0.986722039
hsa-let-7b-5p,ENST00000283195,ENSG00000153201,RANBP2,0.986075269
hsa-let-7b-5p,ENST00000245817,ENSG00000125657,TNFSF9,0.985935789
hsa-let-7b-5p,ENST00000551568,ENSG00000135678,CPM,0.98553128
hsa-let-7b-5p,ENST00000378439,ENSG00000147655,RSPO2,0.985416292
hsa-let-7b-5p,ENST00000288071,ENSG00000157349,DDX19B,0.98532313
hsa-let-7b-5p,ENST00000407886,ENSG00000206069,TMEM211,0.984962774
hsa-let-7b-5p,ENST00000511945,ENSG00000145882,PCYOX1L,0.984656568
hsa-let-7b-5p,ENST00000420115,ENSG00000091527,CDV3,0.984567552
hsa-let-7b-5p,ENST00000322213,ENSG00000072501,SMC1A,0.98449302
hsa-let-7b-5p,ENST00000528964,ENSG00000175634,RPS6KB2,0.983765225
hsa-let-7b-5p,ENST00000230882,ENSG00000112964,GHR,0.982850323
hsa-let-7b-5p,ENST00000301067,ENSG00000167548,KMT2D,0.982725392
hsa-let-7b-5p,ENST00000336934,ENSG00000133121,STARD13,0.982575807
hsa-let-7b-5p,ENST00000527892,ENSG00000156709,AIFM1,0.982570719
hsa-let-7b-5p,ENST00000398540,ENSG00000114541,FRMD4B,0.981905018
hsa-let-7b-5p,ENST00000572111,ENSG00000185739,SRL,0.981655605
hsa-let-7b-5p,ENST00000424122,ENSG00000115282,TTC31,0.981444355
hsa-let-7b-5p,ENST00000366997,ENSG00000123684,LPGAT1,0.981217552
hsa-let-7b-5p,ENST00000382554,ENSG00000205978,NYNRIN,0.980317982
hsa-let-7b-5p,ENST00000373484,ENSG00000162520,SYNC,0.980114644
hsa-let-7b-5p,ENST00000519565,ENSG00000146373,RNF217,0.979695825
hsa-let-7b-5p,ENST00000367147,ENSG00000174514,MFSD4,0.978834853
hsa-let-7b-5p,ENST00000440706,ENSG00000106086,PLEKHA8,0.978634963
hsa-let-7b-5p,ENST00000261182,ENSG00000187109,NAP1L1,0.978511368
hsa-let-7b-5p,ENST00000393487,ENSG00000071073,MGAT4A,0.978051431
hsa-let-7b-5p,ENST00000344636,ENSG00000187510,PLEKHG7,0.977969343
hsa-let-7b-5p,ENST00000322348,ENSG00000176928,GCNT4,0.977673816
hsa-let-7b-5p,ENST00000369295,ENSG00000043591,ADRB1,0.977588858
hsa-let-7b-5p,ENST00000361722,ENSG00000198933,TBKBP1,0.977485947
hsa-let-7b-5p,ENST00000441290,ENSG00000128573,FOXP2,0.977360894
hsa-let-7b-5p,ENST00000443824,ENSG00000047230,CTPS2,0.976601476
hsa-let-7b-5p,ENST00000544253,ENSG00000168876,ANKRD49,0.976485544
hsa-let-7b-5p,ENST00000215574,ENSG00000099804,CDC34,0.97637701
hsa-let-7b-5p,ENST00000541735,ENSG00000198947,DMD,0.976214769
hsa-let-7b-5p,ENST00000293968,ENSG00000162063,CCNF,0.975168613
hsa-let-7b-5p,ENST00000373034,ENSG00000165194,PCDH19,0.974474847
hsa-let-7b-5p,ENST00000272163,ENSG00000143815,LBR,0.974153101
hsa-let-7b-5p,ENST00000239316,ENSG00000120211,INSL4,0.974004603
hsa-let-7b-5p,ENST00000393585,ENSG00000164305,CASP3,0.97398976
hsa-let-7b-5p,ENST00000339613,ENSG00000124440,HIF3A,0.973786044
hsa-let-7b-5p,ENST00000378616,ENSG00000047597,XK,0.973307514
hsa-let-7b-5p,ENST00000445424,ENSG00000184708,EIF4ENIF1,0.972962948
hsa-let-7b-5p,ENST00000566993,ENSG00000005189,AC004381.6,0.972931141
hsa-let-7b-5p,ENST00000332780,ENSG00000185909,KLHDC8B,0.972799845
hsa-let-7b-5p,ENST00000369535,ENSG00000213281,NRAS,0.97253379
hsa-let-7b-5p,ENST00000274849,ENSG00000146109,ABT1,0.972256071
hsa-let-7b-5p,ENST00000376854,ENSG00000135045,C9orf40,0.972210747
hsa-let-7b-5p,ENST00000510439,ENSG00000184206,GOLGA6L4,0.971343567
hsa-let-7b-5p,ENST00000368324,ENSG00000132718,SYT11,0.971282342
hsa-let-7b-5p,ENST00000381163,ENSG00000056998,GYG2,0.971274709
hsa-let-7b-5p,ENST00000541112,ENSG00000137449,CPEB2,0.971265428
hsa-let-7b-5p,ENST00000355173,ENSG00000183092,BEGAIN,0.97105352
hsa-let-7b-5p,ENST00000304191,ENSG00000169612,FAM103A1,0.970439098
hsa-let-7b-5p,ENST00000219022,ENSG00000102837,OLFM4,0.969830762
hsa-let-7b-5p,ENST00000362003,ENSG00000185619,PCGF3,0.96958412
hsa-let-7b-5p,ENST00000589626,ENSG00000127452,FBXL12,0.969255214
hsa-let-7b-5p,ENST00000311180,ENSG00000174840,PDE12,0.969242496
hsa-let-7b-5p,ENST00000484074,ENSG00000102531,FNDC3A,0.968919395
hsa-let-7b-5p,ENST00000343115,ENSG00000137710,RDX,0.968756517
hsa-let-7b-5p,ENST00000373210,ENSG00000134698,AGO4,0.968726911
hsa-let-7b-5p,ENST00000343958,ENSG00000180263,FGD6,0.968472813
hsa-let-7b-5p,ENST00000438902,ENSG00000163017,ACTG2,0.9684718
hsa-let-7b-5p,ENST00000240093,ENSG00000104290,FZD3,0.968232586
hsa-let-7b-5p,ENST00000468435,ENSG00000147854,UHRF2,0.967892007
hsa-let-7b-5p,ENST00000556492,ENSG00000139977,NAA30,0.967716645
hsa-let-7b-5p,ENST00000407464,ENSG00000169635,HIC2,0.967658595
hsa-let-7b-5p,ENST00000413659,ENSG00000128815,WDFY4,0.967153337
hsa-let-7b-5p,ENST00000599439,ENSG00000268397,AC008443.1,0.965934611
hsa-let-7b-5p,ENST00000407610,ENSG00000131732,ZCCHC9,0.96578326
hsa-let-7b-5p,ENST00000367182,ENSG00000198625,MDM4,0.964825338
hsa-let-7b-5p,ENST00000260327,ENSG00000137770,CTDSPL2,0.964711049
hsa-let-7b-5p,ENST00000530609,ENSG00000186104,CYP2R1,0.964427262
hsa-let-7b-5p,ENST00000229314,ENSG00000111711,GOLT1B,0.964230159
hsa-let-7b-5p,ENST00000369443,ENSG00000196505,GDAP2,0.964102911
hsa-let-7b-5p,ENST00000268154,ENSG00000140548,ZNF710,0.963673468
hsa-let-7b-5p,ENST00000417257,ENSG00000171877,FRMD5,0.963281304
hsa-let-7b-5p,ENST00000299164,ENSG00000166106,ADAMTS15,0.962997003
hsa-let-7b-5p,ENST00000252032,ENSG00000088854,C20orf194,0.962847997
hsa-let-7b-5p,ENST00000409262,ENSG00000187605,TET3,0.962761375
hsa-let-7b-5p,ENST00000504360,ENSG00000188848,BEND4,0.962738655
hsa-let-7b-5p,ENST00000249647,ENSG00000092531,SNAP23,0.962349664
hsa-let-7b-5p,ENST00000371610,ENSG00000124171,PARD6B,0.962166382
hsa-let-7b-5p,ENST00000511739,ENSG00000170185,USP38,0.96198989
hsa-let-7b-5p,ENST00000567617,ENSG00000167173,C15orf39,0.961942007
hsa-let-7b-5p,ENST00000584897,ENSG00000101596,SMCHD1,0.961672088
hsa-let-7b-5p,ENST00000444766,ENSG00000108506,INTS2,0.961476697
hsa-let-7b-5p,ENST00000409600,ENSG00000082153,BZW1,0.960831568
hsa-let-7b-5p,ENST00000264867,ENSG00000109819,PPARGC1A,0.960363014
hsa-let-7b-5p,ENST00000358087,ENSG00000188219,POTEE,0.959511822
hsa-let-7b-5p,ENST00000367001,ENSG00000170385,SLC30A1,0.959510126
hsa-let-7b-5p,ENST00000368485,ENSG00000160712,IL6R,0.958328317
hsa-let-7b-5p,ENST00000370828,ENSG00000076716,GPC4,0.958133106
hsa-let-7b-5p,ENST00000261275,ENSG00000104059,FAM189A1,0.957857873
hsa-let-7b-5p,ENST00000263563,ENSG00000107719,PALD1,0.957642138
hsa-let-7b-5p,ENST00000277225,ENSG00000148143,ZNF462,0.957602278
hsa-let-7b-5p,ENST00000558090,ENSG00000103942,HOMER2,0.957555687
hsa-let-7b-5p,ENST00000359676,ENSG00000197183,C20orf112,0.957073848
hsa-let-7b-5p,ENST00000282587,ENSG00000152683,SLC30A6,0.956594009
hsa-let-7b-5p,ENST00000447404,ENSG00000165209,STRBP,0.956370154
hsa-let-7b-5p,ENST00000355633,ENSG00000105991,HOXA1,0.956181917
hsa-let-7b-5p,ENST00000381196,ENSG00000153707,PTPRD,0.955703105
hsa-let-7b-5p,ENST00000328902,ENSG00000133561,GIMAP6,0.954696871
hsa-let-7b-5p,ENST00000416070,ENSG00000077809,GTF2I,0.954271883
hsa-let-7b-5p,ENST00000435193,ENSG00000163600,ICOS,0.954241365
hsa-let-7b-5p,ENST00000512091,ENSG00000150471,LPHN3,0.953882227
hsa-let-7b-5p,ENST00000282276,ENSG00000247626,MARS2,0.953757155
hsa-let-7b-5p,ENST00000284674,ENSG00000154478,GPR26,0.953669623
hsa-let-7b-5p,ENST00000376259,ENSG00000028137,TNFRSF1B,0.952057764
hsa-let-7b-5p,ENST00000311181,ENSG00000174684,B3GNT1,0.951738997
hsa-let-7b-5p,ENST00000334197,ENSG00000197937,ZNF347,0.951547098
hsa-let-7b-5p,ENST00000477695,ENSG00000144824,PHLDB2,0.951367419
hsa-let-7b-5p,ENST00000263620,ENSG00000116017,ARID3A,0.950881708
hsa-let-7b-5p,ENST00000359600,ENSG00000162415,ZSWIM5,0.950185584
hsa-let-7b-5p,ENST00000551509,ENSG00000187537,POTEM,0.950133041
hsa-let-7b-5p,ENST00000437205,ENSG00000114770,ABCC5,0.950047754
hsa-let-7b-5p,ENST00000370355,ENSG00000099194,SCD,0.949729409
hsa-let-7b-5p,ENST00000464848,ENSG00000105948,TTC26,0.949649525
hsa-let-7b-5p,ENST00000323460,ENSG00000119231,SENP5,0.949555282
hsa-let-7b-5p,ENST00000379019,ENSG00000125772,GPCPD1,0.949117591
hsa-let-7b-5p,ENST00000373191,ENSG00000126070,AGO3,0.94849498
hsa-let-7b-5p,ENST00000400573,ENSG00000099954,CECR2,0.948161626
hsa-let-7b-5p,ENST00000296252,ENSG00000163898,LIPH,0.948017776
hsa-let-7b-5p,ENST00000413936,ENSG00000091073,DTX2,0.947680614
hsa-let-7b-5p,ENST00000502732,ENSG00000143322,ABL2,0.947242771
hsa-let-7b-5p,ENST00000352083,ENSG00000110693,SOX6,0.947223558
hsa-let-7b-5p,ENST00000528216,ENSG00000148985,PGAP2,0.947090726
hsa-let-7b-5p,ENST00000217971,ENSG00000101856,PGRMC1,0.946958313
hsa-let-7b-5p,ENST00000539768,ENSG00000177058,SLC38A9,0.946540367
hsa-let-7b-5p,ENST00000274811,ENSG00000146083,RNF44,0.946335122
hsa-let-7b-5p,ENST00000333201,ENSG00000198440,ZNF583,0.945879907
hsa-let-7b-5p,ENST00000554327,ENSG00000135424,ITGA7,0.944908155
hsa-let-7b-5p,ENST00000456470,ENSG00000100379,KCTD17,0.944493126
hsa-let-7b-5p,ENST00000368742,ENSG00000203782,LOR,0.94400488
hsa-let-7b-5p,ENST00000470258,ENSG00000188811,NHLRC3,0.943116633
hsa-let-7b-5p,ENST00000343455,ENSG00000100697,DICER1,0.941655418
hsa-let-7b-5p,ENST00000395472,ENSG00000180008,SOCS4,0.941460413
hsa-let-7b-5p,ENST00000254337,ENSG00000132017,DCAF15,0.940669469
hsa-let-7b-5p,ENST00000324765,ENSG00000147202,DIAPH2,0.940149663
hsa-let-7b-5p,ENST00000358691,ENSG00000198265,HELZ,0.938390049
hsa-let-7b-5p,ENST00000379119,ENSG00000075790,BCAP29,0.938243283
hsa-let-7b-5p,ENST00000471858,ENSG00000163606,CD200R1,0.938048853
hsa-let-7b-5p,ENST00000264951,ENSG00000114127,XRN1,0.937810573
hsa-let-7b-5p,ENST00000457153,ENSG00000067715,SYT1,0.937787633
hsa-let-7b-5p,ENST00000547997,ENSG00000028203,VEZT,0.937442073
hsa-let-7b-5p,ENST00000405409,ENSG00000100320,RBFOX2,0.937340818
hsa-let-7b-5p,ENST00000281821,ENSG00000116106,EPHA4,0.937189819
hsa-let-7b-5p,ENST00000371347,ENSG00000153291,SLC25A27,0.936823848
hsa-let-7b-5p,ENST00000233336,ENSG00000114999,TTL,0.93663673
hsa-let-7b-5p,ENST00000249377,ENSG00000128606,LRRC17,0.935159933
hsa-let-7b-5p,ENST00000393239,ENSG00000004399,PLXND1,0.935153479
hsa-let-7b-5p,ENST00000527905,ENSG00000006071,ABCC8,0.934886482
hsa-let-7b-5p,ENST00000309979,ENSG00000166507,NDST2,0.933950883
hsa-let-7b-5p,ENST00000552599,ENSG00000111596,CNOT2,0.933418304
hsa-let-7b-5p,ENST00000437161,ENSG00000187522,HSPA14,0.933160897
hsa-let-7b-5p,ENST00000260126,ENSG00000137571,SLCO5A1,0.932881905
hsa-let-7b-5p,ENST00000393028,ENSG00000123159,GIPC1,0.932810098
hsa-let-7b-5p,ENST00000282344,ENSG00000152484,USP12,0.932638413
hsa-let-7b-5p,ENST00000396659,ENSG00000171766,GATM,0.932381016
hsa-let-7b-5p,ENST00000370900,ENSG00000147255,IGSF1,0.931821309
hsa-let-7b-5p,ENST00000370440,ENSG00000122482,ZNF644,0.931296281
hsa-let-7b-5p,ENST00000287461,ENSG00000156853,ZNF689,0.931131289
hsa-let-7b-5p,ENST00000221700,ENSG00000186115,CYP4F2,0.931119209
hsa-let-7b-5p,ENST00000382199,ENSG00000073792,IGF2BP2,0.931099059
hsa-let-7b-5p,ENST00000451681,ENSG00000010626,LRRC23,0.931074778
hsa-let-7b-5p,ENST00000319073,ENSG00000120925,RNF170,0.930412615
hsa-let-7b-5p,ENST00000409832,ENSG00000222036,POTEG,0.929893302
hsa-let-7b-5p,ENST00000481823,ENSG00000102024,PLS3,0.928810839
hsa-let-7b-5p,ENST00000456098,ENSG00000017427,IGF1,0.928630808
hsa-let-7b-5p,ENST00000413150,ENSG00000071054,MAP4K4,0.927811472
hsa-let-7b-5p,ENST00000396402,ENSG00000137869,CYP19A1,0.927201803
hsa-let-7b-5p,ENST00000281030,ENSG00000151365,THRSP,0.926668531
hsa-let-7b-5p,ENST00000272645,ENSG00000144231,POLR2D,0.926486623
hsa-let-7b-5p,ENST00000381647,ENSG00000205765,C5orf51,0.926348232
hsa-let-7b-5p,ENST00000441692,ENSG00000125676,THOC2,0.924838191
hsa-let-7b-5p,ENST00000254480,ENSG00000173473,SMARCC1,0.923782461
hsa-let-7b-5p,ENST00000275230,ENSG00000146411,SLC2A12,0.923485174
hsa-let-7b-5p,ENST00000261304,ENSG00000054983,GALC,0.922928254
hsa-let-7b-5p,ENST00000388822,ENSG00000145388,METTL14,0.922703543
hsa-let-7b-5p,ENST00000236495,ENSG00000117834,SLC5A9,0.92226621
hsa-let-7b-5p,ENST00000237380,ENSG00000118579,MED28,0.921829753
hsa-let-7b-5p,ENST00000324344,ENSG00000188215,DCUN1D3,0.921535109
hsa-let-7b-5p,ENST00000372216,ENSG00000197565,COL4A6,0.921023949
hsa-let-7b-5p,ENST00000338965,ENSG00000188211,NCR3LG1,0.920352755
hsa-let-7b-5p,ENST00000382349,ENSG00000205922,ONECUT3,0.919947934
hsa-let-7b-5p,ENST00000531380,ENSG00000174804,FZD4,0.91959718
hsa-let-7b-5p,ENST00000312943,ENSG00000146094,DOK3,0.919540985
hsa-let-7b-5p,ENST00000305476,ENSG00000168758,SEMA4C,0.919181336
hsa-let-7b-5p,ENST00000372457,ENSG00000159479,MED8,0.919110161
hsa-let-7b-5p,ENST00000389677,ENSG00000146267,FAXC,0.918535594
hsa-let-7b-5p,ENST00000256544,ENSG00000134152,KATNBL1,0.918440184
hsa-let-7b-5p,ENST00000373913,ENSG00000080845,DLGAP4,0.918328056
hsa-let-7b-5p,ENST00000480045,ENSG00000157193,LRP8,0.918203788
hsa-let-7b-5p,ENST00000314529,ENSG00000177842,ZNF620,0.917982263
hsa-let-7b-5p,ENST00000550558,ENSG00000110881,ASIC1,0.917534741
hsa-let-7b-5p,ENST00000393047,ENSG00000150776,C11orf57,0.917132729
hsa-let-7b-5p,ENST00000276297,ENSG00000164741,DLC1,0.917052484
hsa-let-7b-5p,ENST00000321545,ENSG00000178229,ZNF543,0.91683259
hsa-let-7b-5p,ENST00000378566,ENSG00000005238,FAM214B,0.916749816
hsa-let-7b-5p,ENST00000389772,ENSG00000241484,ARHGAP8,0.916696894
hsa-let-7b-5p,ENST00000436008,ENSG00000137266,SLC22A23,0.916672585
hsa-let-7b-5p,ENST00000357618,ENSG00000010704,HFE,0.91623146
hsa-let-7b-5p,ENST00000420696,ENSG00000185630,PBX1,0.91557105
hsa-let-7b-5p,ENST00000416695,ENSG00000188167,TMPPE,0.914877657
hsa-let-7b-5p,ENST00000514903,ENSG00000145734,BDP1,0.913993633
hsa-let-7b-5p,ENST00000155926,ENSG00000071575,TRIB2,0.913876322
hsa-let-7b-5p,ENST00000370141,ENSG00000122435,TRMT13,0.913508037
