
Generated at: 2019/05/07 11:56:05
mirDIP version: 4.1.11.1.
Database version: 4.1.0.3


Micro RNAs: hsa-miR-16-5p 
hsa-miR-19b-3p 
hsa-miR-20b-5p 
hsa-miR-21-5p 
hsa-miR-24-3p 
hsa-miR-26a-5p 
hsa-miR-27b-3p 
hsa-miR-28-5p 
hsa-miR-29a-3p 
hsa-miR-30b-5p 
hsa-miR-92a-3p 
hsa-miR-93-5p 
hsa-miR-99b-5p 
hsa-miR-122-5p 
hsa-miR-126-3p 
hsa-miR-126-5p 
hsa-miR-130a-3p 
hsa-miR-140-5p 
hsa-miR-143-3p 
hsa-miR-145-5p 
hsa-miR-150-5p 
hsa-miR-191-5p 
hsa-miR-192-5p 
hsa-miR-197-3p 
hsa-miR-221-3p 
hsa-miR-222-3p 
hsa-miR-223-3p 
hsa-miR-223-5p 
hsa-miR-320a 
hsa-miR-324-5p 
hsa-miR-375 
hsa-miR-486-5p 
hsa-miR-574-3p 
hsa-miR-885-5p 
hsa-let-7b-5p 
hsa-let-7d-5p 
Minimum Score class - Very High


Results (7397)
Gene,Uniprot \ miRNAs,hsa-let-7b-5p,hsa-let-7d-5p,hsa-miR-122-5p,hsa-miR-126-3p,hsa-miR-126-5p,hsa-miR-130a-3p,hsa-miR-140-5p,hsa-miR-143-3p,hsa-miR-145-5p,hsa-miR-150-5p,hsa-miR-16-5p,hsa-miR-191-5p,hsa-miR-192-5p,hsa-miR-197-3p,hsa-miR-19b-3p,hsa-miR-20b-5p,hsa-miR-21-5p,hsa-miR-221-3p,hsa-miR-222-3p,hsa-miR-223-3p,hsa-miR-223-5p,hsa-miR-24-3p,hsa-miR-26a-5p,hsa-miR-27b-3p,hsa-miR-28-5p,hsa-miR-29a-3p,hsa-miR-30b-5p,hsa-miR-320a,hsa-miR-324-5p,hsa-miR-375,hsa-miR-486-5p,hsa-miR-574-3p,hsa-miR-885-5p,hsa-miR-92a-3p,hsa-miR-93-5p,hsa-miR-99b-5p,Shared miRNAs
ABCF2,Q9UG63,,,Y,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,4
ABCG2,Q9UNQ0,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,2
ABCG4,Q9H172,,,,,,,,,Y,,Y,,,,,Y,,,,Y,,,,,,,,,Y,,,,,Y,Y,,7
ABCG5,Q9H222,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,2
ABHD10,Q9NUJ1,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,2
ABHD13,Q7L211,,,,,,,Y,,,,Y,,,,,Y,,,,Y,,,,Y,,,,Y,,,,,,Y,Y,,8
ABHD17A,Q96GS6,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,2
ABHD17B,Q5VST6,,,,,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,4
ABHD17C,Q6PCB6,Y,Y,,,,,,,Y,,,,,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,6
ABHD2,P08910,,Y,,,,Y,,Y,Y,Y,Y,,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,Y,Y,,Y,,,,,Y,,21
ABHD3,Q8WU67,,,,,,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,4
ABHD4,Q8TB40,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,,,3
ABHD5,Q8WTS1,,,,,,,Y,,,,Y,,,,Y,Y,,,,,,,Y,Y,,Y,,,,,,,,,Y,,8
ABHD6,Q9BV23,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,2
ABI1,Q8IZP0,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,Y,,3
ABI2,Q9NYB9,,,Y,,,,,,,Y,Y,,Y,,Y,Y,,,,Y,,Y,Y,,,,,Y,,Y,,,,Y,Y,,13
ABI3BP,Q7Z7G0,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,2
ABL2,P42684,Y,Y,Y,,,,,Y,Y,,Y,,,,,Y,,,,,,,Y,Y,,,Y,,Y,,,,,Y,Y,,13
ABLIM1,O14639,,,Y,,,,Y,,,,,,,,,Y,,,,,,,,,Y,,,Y,,,,,,,Y,,6
ABLIM2,Q6H8Q1,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
ABR,Q12979,,,Y,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,5
ABRAXAS2,Q15018,,Y,,,,Y,Y,,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,,,,,6
ABT1,Q9ULW3,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,4
ACACA,Q13085,,,,,,,Y,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,4
ACADM,P11310,,,,,,,,,,,,,,,,,,Y,Y,,,Y,Y,,,,,,,,,,,,,,4
ACADSB,P45954,,,,,,Y,,Y,,,,,Y,,Y,Y,,,,,,,Y,,,,,,,,,,,,Y,,7
ACAN,P16112,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,2
ACAP2,Q15057,,,,,,,,,,,,,,,,Y,,,,,,,Y,Y,,,Y,Y,,,,,,,Y,,6
ACBD3,Q9H3P7,,,,,,Y,,,Y,Y,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,5
ACBD5,Q5T8D3,,,,,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,Y,Y,,,,Y,,,,,,,,Y,,10
ACER2,Q5QJU3,Y,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,4
ACER3,Q9NUN7,Y,Y,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,Y,,6
ACIN1,Q9UKV3,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,Y,,3
ACOX1,Q15067,,,,,,,,,,Y,Y,,,,,,,,,Y,,,,Y,,,,,,,,,,Y,,,5
ACOX3,O15254,,,,,,,,,,,Y,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,3
ACP1,P24666,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ACP2,P11117,,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,3
ACPP,P15309,Y,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,3
ACSBG1,Q96GR2,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
ACSL1,P33121,,Y,,,,Y,Y,,,,Y,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,7
ACSL3,O95573,,,,,,Y,,,,,,,,,Y,,,,,Y,,,Y,,,,,,,Y,,,,,,,5
ACSL4,O60488,,,,,,Y,,,Y,Y,Y,,,,Y,Y,,,,Y,,,Y,,,,Y,Y,,Y,,,,,Y,,12
ACSL5,Q9ULC5,,,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,2
ACSL6,Q9UKU0,Y,Y,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,4
ACTA1,P68133,Y,Y,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,,,,,4
ACTC1,P68032,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,Y,,,4
ACTL6A,O96019,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,,,Y,,4
ACTN1,P12814,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,2
ACTR10,Q9NZ32,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,3
ACTR1A,P61163,,,Y,,,,Y,,,Y,Y,,,Y,,Y,,,,,,,,,,,Y,,,,,,,,Y,,8
ACTR2,P61160,Y,Y,,,,,,,Y,,Y,,,,,Y,Y,Y,Y,Y,,,,,,,,Y,,,,,,,Y,,11
ACTR3,P61158,,,,,,,,,Y,,,Y,,,,Y,,,,Y,,,Y,,,,,,,,,,,Y,,,6
ACTR3B,Q9P1U1,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,2
ACTRT3,Q9BYD9,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,2
ACVR1,Q04771,,,Y,,,Y,,,,,,,,Y,,,,,,Y,,,,Y,,,Y,,,,,,,,Y,,7
ACVR1B,P36896,Y,Y,,,,,,Y,Y,Y,,,,Y,,Y,,,,,,Y,,,,,,,,,,,,,Y,,9
ACVR1C,Q8NER5,Y,Y,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,,,5
ACVR2A,P27037,Y,Y,,,,Y,,,Y,Y,Y,,Y,,,,Y,Y,Y,Y,,,,Y,,Y,Y,,,,,,,,,,14
ACVR2B,Q13705,Y,Y,,,,Y,,,Y,,Y,,Y,,,Y,Y,Y,Y,,,Y,Y,Y,,Y,,Y,,,,Y,,,,,16
ACVRL1,P37023,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,2
ADAL,Q6DHV7,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,2
ADAM10,O14672,,,Y,,,,Y,Y,Y,,Y,,,,,,,,,,,,,,,,,Y,,,,,,Y,,,7
ADAM11,O75078,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,3
ADAM12,O43184,,,,,,Y,,,,,,,,,Y,,,,,,,Y,Y,,,Y,Y,,,,,,,,,,6
ADAM15,Q13444,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ADAM17,P78536,,,,,,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,3
ADAM19,Q9H013,,,,,,,,,Y,Y,,,,,,,,,,,,Y,Y,Y,,Y,Y,,,,,,,Y,,,8
ADAM22,Q9P0K1,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,3
ADAM23,O75077,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,2
ADAM28,Q9UKQ2,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ADAM9,Q13443,,Y,,Y,,,Y,Y,,,,Y,,,,Y,Y,,,Y,,,Y,,,,Y,,,,,,,,Y,,11
ADAMTS1,Q9UHI8,Y,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,3
ADAMTS10,Q9H324,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,3
ADAMTS14,Q8WXS8,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3
ADAMTS15,Q8TE58,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ADAMTS17,Q8TE56,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,2
ADAMTS18,Q8TE60,,,,,,Y,,,,,Y,,,Y,Y,,,,,,,,Y,,,Y,,,,,,,,,,,6
ADAMTS19,Q8TE59,,,,,,Y,,,,Y,,,,,,,,,,,,,Y,,,Y,,,,,Y,,,,,,5
ADAMTS3,O15072,,,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,Y,,,Y,,,,Y,Y,,8
ADAMTS5,Q9UNA0,Y,Y,,,,Y,Y,,Y,Y,Y,Y,,Y,,Y,,,,,,Y,,Y,,Y,Y,Y,,,,,,,Y,,16
ADAMTS6,Q9UKP5,Y,,,,,,Y,Y,,,Y,,,,Y,Y,,Y,Y,,,Y,Y,Y,,Y,Y,,,,,,,,,,13
ADAMTS8,Q9UP79,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ADAMTS9,Q9P2N4,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,Y,,,3
ADAMTSL1,Q8N6G6,,,,,,,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,Y,,,Y,Y,,6
ADAMTSL2,Q86TH1,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,Y,,3
ADAMTSL3,P82987,,,,,,,,,,,Y,,,,Y,,,,,,,Y,,Y,,,,,,,,,,Y,,,5
ADAR,P55265,,,,,,,,,,,Y,,,,,Y,,,,,,Y,,Y,,,,,,,,,,,Y,,5
ADARB1,P78563,,,,,,,,,Y,Y,Y,,,,,Y,Y,,,,,,,,,,Y,Y,,,,,,,Y,,8
ADAT1,Q9BUB4,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,,,,,,,2
ADAT2,Q7Z6V5,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,Y,,4
ADCY1,Q08828,,,Y,,,Y,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,6
ADCY2,Q08462,,,,,,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,3
ADCY3,O60266,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,2
ADCY6,O43306,,,,,,,Y,,,Y,,,,Y,Y,,,,,,,Y,Y,Y,,,,,,Y,,,,,,,8
ADCY7,P51828,,,,,,,Y,,,,,,Y,,Y,,,,,Y,,Y,,,,,,,,,,,,,,,5
ADCY9,O60503,Y,Y,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,4
ADCYAP1,P18509,,,,,Y,Y,,,Y,,,,,Y,,,,,,Y,,,,,,,,Y,Y,,,,,,,,7
ADCYAP1R1,P41586,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,3
ADD1,P35611,,,,,,,,,,Y,Y,,,,,,,,,,,Y,,Y,,,,,,,,,Y,,,,5
ADD2,P35612,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
ADD3,Q9UEY8,,,,,,,,Y,Y,,,,,,Y,,,Y,Y,,,Y,Y,Y,,,,,,,,,,,,,8
ADGRA2,Q96PE1,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,3
ADGRA3,Q8IWK6,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,,,,2
ADGRB3,O60242,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,4
ADGRD1,Q6QNK2,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,Y,,3
ADGRE2,Q9UHX3,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2
ADGRF5,Q8IZF2,,,,,,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,Y,,,,,,,4
ADGRG2,Q8IZP9,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,2
ADGRG6,Q86SQ4,,,,,,,,,,Y,,,Y,,,,,,,,,Y,,Y,,,,,,,,,,,,,4
ADGRL1,O94910,,,,,,,,,,,Y,,,,,,,,,,,,Y,,Y,,,Y,,Y,,,,,,,5
ADGRL2,O95490,,,,,,,Y,,,,Y,,,,Y,Y,,,,Y,,,,Y,,,,,,Y,,,,,Y,,8
ADGRL3,Q9HAR2,,,,,,Y,,,,,,,Y,,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,6
ADGRV1,Q8WXG9,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,2
ADHFE1,Q8IWW8,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,2
ADI1,Q9BV57,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
ADIPOR1,Q96A54,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,Y,,3
ADIPOR2,Q86V24,Y,Y,,,,,,,,Y,,,,,Y,Y,,,,Y,,,,,,,,,,Y,,,,,Y,,8
ADM,P35318,,,,,,,,,,,,,,,,Y,,,,,,Y,Y,,,,,,,,,,,Y,,,4
ADNP,Q9H2P0,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,3
ADNP2,Q6IQ32,,,,,,,,,,,Y,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,4
ADO,Q96SZ5,,,Y,,,,,,,,,Y,,Y,,,,,,,,Y,,,,,Y,,,,,,,Y,,,6
ADPGK,Q9BRR6,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
ADPRH,P54922,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,3
ADRA1B,P35368,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,2
ADRA2A,P08913,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,2
ADRA2B,P18089,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,2
ADRB1,P08588,Y,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,Y,,,5
ADRB2,P07550,Y,Y,,,,,,,,,Y,,,,,,,,,,,Y,,Y,,,Y,,,,,,,,,,6
ADRB3,P13945,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ADSS,P30520,,,Y,,,,,,,,Y,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,4
AEBP2,Q6ZN18,,,,,,,,,,Y,Y,,,,Y,Y,,,,Y,,,,Y,,,,,,Y,,,,,Y,,8
AEN,Q8WTP8,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,Y,,5
AFAP1,Q8N556,,,,,,,Y,,,,Y,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,4
AFAP1L2,Q8N4X5,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,,,,,,3
AFDN,P55196,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,4
AFF1,P51825,,,,,,Y,Y,Y,,Y,,,,,Y,Y,,Y,Y,,,,,Y,,,,,,,,,,Y,Y,,11
AFF2,P51816,Y,Y,,,,Y,Y,Y,Y,,Y,,Y,,Y,Y,,Y,Y,,,Y,,,Y,Y,Y,,Y,,,,,,Y,,18
AFF3,P51826,,,,,,Y,,,Y,,,,,,,,,,,,,,,Y,,,Y,,,,Y,,,Y,,,6
AFF4,Q9UHB7,Y,Y,,,Y,,,Y,Y,Y,Y,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,Y,Y,,16
AFG1L,Q8WV93,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,3
AFTPH,Q6ULP2,,,,,,,Y,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,4
AGA,P20933,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,2
AGAP1,Q9UPQ3,,,,,,,,,Y,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,3
AGAP3,Q96P47,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
AGFG1,P52594,,,,,,Y,Y,,Y,,,,,,Y,Y,,Y,Y,,,,,Y,,,,Y,,,,,,,Y,,10
AGFG2,O95081,,,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,Y,,,,,Y,,4
AGGF1,Q8N302,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,Y,,,,,,Y,Y,,5
AGO1,Q9UL18,Y,Y,Y,,,Y,,Y,Y,Y,Y,,,,Y,Y,,,,Y,,Y,Y,,Y,Y,Y,Y,,,,,,,Y,,18
AGO2,Q9UKV8,,,,,,,,,,,Y,,,Y,,Y,Y,,,Y,,,,Y,,,Y,,,,,,,,Y,Y,9
AGO3,Q9H9G7,Y,Y,,,,,,,,,Y,,,,,,,,,Y,,Y,,,,,Y,,,,,,,Y,,,7
AGO4,Q9HCK5,Y,Y,,,,Y,,,,Y,Y,,,,Y,Y,Y,Y,Y,,,Y,,,,,Y,,,,,,,,Y,,13
AGPAT1,Q99943,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,2
AGPAT3,Q9NRZ7,,,,,,Y,,,Y,,Y,,,Y,,Y,,,,,,Y,Y,Y,Y,,,,Y,,,,,,Y,,11
AGPAT4,Q9NRZ5,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,Y,,,,2
AGPAT5,Q9NUQ2,,,,,,,,,,,Y,,,,Y,Y,Y,,,,,,Y,,,,,Y,,,,,,,,,6
AGPS,O00116,,,,,,,,,,,Y,,,,,,,Y,Y,Y,,Y,,,,,,Y,,Y,,,,,,,7
AGRN,O00468,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,2
AGTPBP1,Q9UPW5,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,Y,,4
AGTR2,P50052,,,,,,,,,,,Y,,,,,Y,,,,,,,,,Y,,,,,,,,,,Y,,4
AHCTF1,Q8WYP5,Y,Y,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,Y,Y,,6
AHCYL1,O43865,,,Y,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,5
AHCYL2,Q96HN2,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,2
AHI1,Q8N157,,,,,,Y,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,3
AHNAK,Q09666,,,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,Y,,,,,,Y,,Y,,6
AHR,P35869,,,,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,,3
AHRR,A9YTQ3,,,,,,,,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,Y,,4
AICDA,Q9GZX7,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,4
AIDA,Q96BJ3,Y,Y,,,,,Y,,,,,,,,,Y,,Y,Y,Y,,,,Y,,,Y,,,,,,,Y,Y,,11
AIF1L,Q9BQI0,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,2
AIFM1,O95831,Y,Y,,,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,,,Y,,,6
AIFM2,Q9BRQ8,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,Y,,,2
AIPL1,Q9NZN9,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,2
AJAP1,Q9UKB5,,,,,,,,,,,,Y,,Y,,,,Y,Y,,,Y,,,,,,,,,,,,,,,5
AJUBA,Q96IF1,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,Y,,3
