Mirna Name,Transcript Id,Gene Idname,Gene name,miTG score
hsa-miR-122-3p,ENST00000523969,ENSG00000055163,CYFIP2,0.709807887
hsa-miR-122-3p,ENST00000406462,ENSG00000121957,GPSM2,0.709395843
hsa-miR-122-3p,ENST00000292782,ENSG00000043093,DCUN1D1,0.707278424
hsa-miR-122-3p,ENST00000287482,ENSG00000156876,SASS6,0.706948879
hsa-miR-122-3p,ENST00000528216,ENSG00000148985,PGAP2,0.705725356
hsa-miR-122-3p,ENST00000335397,ENSG00000186509,OR9Q1,0.702203406
hsa-miR-122-3p,ENST00000591698,ENSG00000121289,CEP89,0.701989696
hsa-miR-122-3p,ENST00000376040,ENSG00000135040,NAA35,0.701551864
hsa-miR-122-3p,ENST00000392401,ENSG00000079931,MOXD1,0.701411373
hsa-miR-122-3p,ENST00000306390,ENSG00000171236,LRG1,0.700449162
hsa-miR-122-5p,ENST00000398542,ENSG00000121753,BAI2,0.999814211
hsa-miR-122-5p,ENST00000525514,ENSG00000118513,MYB,0.999708006
hsa-miR-122-5p,ENST00000323798,ENSG00000104812,GYS1,0.99872409
hsa-miR-122-5p,ENST00000530514,ENSG00000141279,NPEPPS,0.998367804
hsa-miR-122-5p,ENST00000260126,ENSG00000137571,SLCO5A1,0.998154785
hsa-miR-122-5p,ENST00000325327,ENSG00000176619,LMNB2,0.997621571
hsa-miR-122-5p,ENST00000379439,ENSG00000169876,MUC17,0.997540784
hsa-miR-122-5p,ENST00000360264,ENSG00000257923,CUX1,0.996982412
hsa-miR-122-5p,ENST00000377886,ENSG00000124568,SLC17A1,0.996234068
hsa-miR-122-5p,ENST00000373008,ENSG00000122884,P4HA1,0.994093651
hsa-miR-122-5p,ENST00000389554,ENSG00000136535,TBR1,0.99085654
hsa-miR-122-5p,ENST00000601424,ENSG00000269449,AC002451.1,0.990079421
hsa-miR-122-5p,ENST00000294454,ENSG00000162461,SLC25A34,0.988763127
hsa-miR-122-5p,ENST00000444376,ENSG00000153187,HNRNPU,0.988645481
hsa-miR-122-5p,ENST00000383829,ENSG00000156983,BRPF1,0.987792522
hsa-miR-122-5p,ENST00000359676,ENSG00000197183,C20orf112,0.987721307
hsa-miR-122-5p,ENST00000302418,ENSG00000170759,KIF5B,0.984274507
hsa-miR-122-5p,ENST00000248150,ENSG00000127588,GNG13,0.983393131
hsa-miR-122-5p,ENST00000322002,ENSG00000176887,SOX11,0.982440291
hsa-miR-122-5p,ENST00000595401,ENSG00000118620,ZNF430,0.977594441
hsa-miR-122-5p,ENST00000409939,ENSG00000169221,TBC1D10B,0.977154474
hsa-miR-122-5p,ENST00000409258,ENSG00000132305,IMMT,0.974940732
hsa-miR-122-5p,ENST00000520193,ENSG00000134028,ADAMDEC1,0.974832952
hsa-miR-122-5p,ENST00000449131,ENSG00000167995,BEST1,0.971925316
hsa-miR-122-5p,ENST00000355237,ENSG00000197822,OCLN,0.971872236
hsa-miR-122-5p,ENST00000248444,ENSG00000127831,VIL1,0.969226091
hsa-miR-122-5p,ENST00000506823,ENSG00000174473,GALNTL6,0.969201074
hsa-miR-122-5p,ENST00000271915,ENSG00000143603,KCNN3,0.968914014
hsa-miR-122-5p,ENST00000521555,ENSG00000243716,NPIPB5,0.967560102
hsa-miR-122-5p,ENST00000394070,ENSG00000124356,STAMBP,0.965148464
hsa-miR-122-5p,ENST00000394323,ENSG00000213462,ERV3-1,0.964878576
hsa-miR-122-5p,ENST00000574322,ENSG00000175826,CTDNEP1,0.961446222
hsa-miR-122-5p,ENST00000533473,ENSG00000255423,EBLN2,0.961413904
hsa-miR-122-5p,ENST00000220876,ENSG00000104435,STMN2,0.960569699
hsa-miR-122-5p,ENST00000536719,ENSG00000074319,TSG101,0.960065419
hsa-miR-122-5p,ENST00000352083,ENSG00000110693,SOX6,0.959931091
hsa-miR-122-5p,ENST00000582081,ENSG00000108854,SMURF2,0.957713593
hsa-miR-122-5p,ENST00000240100,ENSG00000120875,DUSP4,0.956927174
hsa-miR-122-5p,ENST00000299608,ENSG00000166479,TMX3,0.956502995
hsa-miR-122-5p,ENST00000369498,ENSG00000165775,FUNDC2,0.955096906
hsa-miR-122-5p,ENST00000247461,ENSG00000127022,CANX,0.955021421
hsa-miR-122-5p,ENST00000264674,ENSG00000085276,MECOM,0.952486103
hsa-miR-122-5p,ENST00000510866,ENSG00000120733,KDM3B,0.951967876
hsa-miR-122-5p,ENST00000375011,ENSG00000119514,GALNT12,0.951732443
hsa-miR-122-5p,ENST00000541363,ENSG00000149948,HMGA2,0.950016682
hsa-miR-122-5p,ENST00000602917,ENSG00000196312,HIATL2,0.949242004
hsa-miR-122-5p,ENST00000457434,ENSG00000146276,GABRR1,0.948838997
hsa-miR-122-5p,ENST00000548411,ENSG00000151746,BICD1,0.948777457
hsa-miR-122-5p,ENST00000252723,ENSG00000130427,EPO,0.948432646
hsa-miR-122-5p,ENST00000426654,ENSG00000102908,NFAT5,0.947920102
hsa-miR-122-5p,ENST00000367942,ENSG00000118217,ATF6,0.944991065
hsa-miR-122-5p,ENST00000508784,ENSG00000151612,ZNF827,0.944935993
hsa-miR-122-5p,ENST00000375571,ENSG00000101367,MAPRE1,0.94468482
hsa-miR-122-5p,ENST00000274000,ENSG00000138660,AP1AR,0.944479896
hsa-miR-122-5p,ENST00000340828,ENSG00000113328,CCNG1,0.944181715
hsa-miR-122-5p,ENST00000533250,ENSG00000255251,PRR23D1,0.944009039
hsa-miR-122-5p,ENST00000528972,ENSG00000255378,PRR23D2,0.943754661
hsa-miR-122-5p,ENST00000346562,ENSG00000151322,NPAS3,0.942361526
hsa-miR-122-5p,ENST00000533625,ENSG00000139865,TTC6,0.941934524
hsa-miR-122-5p,ENST00000255476,ENSG00000133111,RFXAP,0.941057025
hsa-miR-122-5p,ENST00000358912,ENSG00000197329,PELI1,0.940939471
hsa-miR-122-5p,ENST00000335661,ENSG00000140379,BCL2A1,0.940530902
hsa-miR-122-5p,ENST00000370628,ENSG00000102245,CD40LG,0.939303239
hsa-miR-122-5p,ENST00000251691,ENSG00000112379,KIAA1244,0.935876947
hsa-miR-122-5p,ENST00000260408,ENSG00000137845,ADAM10,0.934162573
hsa-miR-122-5p,ENST00000474889,ENSG00000144724,PTPRG,0.933334217
hsa-miR-122-5p,ENST00000373491,ENSG00000065491,TBC1D22B,0.933298679
hsa-miR-122-5p,ENST00000225394,ENSG00000108262,GIT1,0.930227564
hsa-miR-122-5p,ENST00000576863,ENSG00000085644,ZNF213,0.929253203
hsa-miR-122-5p,ENST00000540712,ENSG00000165501,LRR1,0.929188162
hsa-miR-122-5p,ENST00000263980,ENSG00000090020,SLC9A1,0.927533652
hsa-miR-122-5p,ENST00000231706,ENSG00000013293,SLC7A14,0.923679973
hsa-miR-122-5p,ENST00000602042,ENSG00000268218,AC137932.1,0.922786166
hsa-miR-122-5p,ENST00000251808,ENSG00000083307,GRHL2,0.921869193
hsa-miR-122-5p,ENST00000225737,ENSG00000108599,AKAP10,0.919432447
hsa-miR-122-5p,ENST00000381605,ENSG00000101307,SIRPB1,0.919236521
hsa-miR-122-5p,ENST00000451653,ENSG00000093183,SEC22C,0.918576741
hsa-miR-122-5p,ENST00000261304,ENSG00000054983,GALC,0.915297977
hsa-miR-122-5p,ENST00000369962,ENSG00000085433,WDR47,0.915160889
hsa-miR-122-5p,ENST00000054666,ENSG00000049245,VAMP3,0.913485089
hsa-miR-122-5p,ENST00000512675,ENSG00000248469,RP11-826N14.2,0.913308128
hsa-miR-122-5p,ENST00000431807,ENSG00000144395,CCDC150,0.912845765
hsa-miR-122-5p,ENST00000569798,ENSG00000149925,ALDOA,0.911499545
hsa-miR-122-5p,ENST00000559573,ENSG00000166262,FAM227B,0.910720477
hsa-miR-122-5p,ENST00000371833,ENSG00000162373,BEND5,0.910714384
hsa-miR-122-5p,ENST00000335791,ENSG00000136840,ST6GALNAC4,0.909993607
hsa-miR-122-5p,ENST00000366810,ENSG00000185155,MIXL1,0.909758004
hsa-miR-122-5p,ENST00000376573,ENSG00000150867,PIP4K2A,0.909292468
hsa-miR-122-5p,ENST00000273598,ENSG00000145029,NICN1,0.908236609
hsa-miR-122-5p,ENST00000370895,ENSG00000259030,FPGT-TNNI3K,0.908230391
hsa-miR-122-5p,ENST00000374379,ENSG00000169504,CLIC4,0.907586452
hsa-miR-122-5p,ENST00000268758,ENSG00000087111,PIGS,0.907527799
hsa-miR-122-5p,ENST00000331070,ENSG00000183753,BPY2,0.90749805
hsa-miR-122-5p,ENST00000382287,ENSG00000185894,BPY2C,0.906536109
hsa-miR-122-5p,ENST00000382392,ENSG00000183795,BPY2B,0.906470675
hsa-miR-122-5p,ENST00000360771,ENSG00000170180,GYPA,0.906375201
hsa-miR-122-5p,ENST00000357731,ENSG00000172260,NEGR1,0.906128231
hsa-miR-122-5p,ENST00000425778,ENSG00000115875,SRSF7,0.906061026
hsa-miR-122-5p,ENST00000304004,ENSG00000171453,POLR1C,0.905623474
hsa-miR-122-5p,ENST00000330824,ENSG00000182851,GPIHBP1,0.905344788
hsa-miR-122-5p,ENST00000335508,ENSG00000115524,SF3B1,0.904361199
hsa-miR-122-5p,ENST00000367033,ENSG00000076356,PLXNA2,0.903659821
hsa-miR-122-5p,ENST00000358154,ENSG00000197006,METTL9,0.903513822
hsa-miR-122-5p,ENST00000369287,ENSG00000165813,C10orf118,0.901239075
hsa-miR-122-5p,ENST00000367922,ENSG00000162733,DDR2,0.900716004
hsa-miR-122-5p,ENST00000535853,ENSG00000205147,AC016586.1,0.899480665
hsa-miR-122-5p,ENST00000411922,ENSG00000214160,ALG3,0.898090715
hsa-miR-122-5p,ENST00000323223,ENSG00000177800,TMEM78,0.896319235
hsa-miR-122-5p,ENST00000357472,ENSG00000152601,MBNL1,0.896177736
hsa-miR-122-5p,ENST00000356056,ENSG00000066933,MYO9A,0.895854144
hsa-miR-122-5p,ENST00000366539,ENSG00000117020,AKT3,0.894711597
hsa-miR-122-5p,ENST00000292609,ENSG00000161031,PGLYRP2,0.894346233
hsa-miR-122-5p,ENST00000533405,ENSG00000255046,RP11-297N6.4,0.894067039
hsa-miR-122-5p,ENST00000377296,ENSG00000204752,AC025278.1,0.893493403
hsa-miR-122-5p,ENST00000524655,ENSG00000134909,ARHGAP32,0.893348185
hsa-miR-122-5p,ENST00000265742,ENSG00000001629,ANKIB1,0.890910089
hsa-miR-122-5p,ENST00000289547,ENSG00000015520,NPC1L1,0.890503274
hsa-miR-122-5p,ENST00000325844,ENSG00000181991,MRPS11,0.888633657
hsa-miR-122-5p,ENST00000380752,ENSG00000139514,SLC7A1,0.885472786
hsa-miR-122-5p,ENST00000439947,ENSG00000171103,TRMT61B,0.885037186
hsa-miR-122-5p,ENST00000358138,ENSG00000196166,C8orf86,0.884442042
hsa-miR-122-5p,ENST00000480911,ENSG00000151067,CACNA1C,0.883886486
hsa-miR-122-5p,ENST00000372007,ENSG00000077264,PAK3,0.883639049
hsa-miR-122-5p,ENST00000324557,ENSG00000145194,ECE2,0.883520488
hsa-miR-122-5p,ENST00000370520,ENSG00000167046,RP11-93B14.6,0.883433436
hsa-miR-122-5p,ENST00000567118,ENSG00000067225,PKM,0.883279508
hsa-miR-122-5p,ENST00000295414,ENSG00000163249,CCNYL1,0.883073395
hsa-miR-122-5p,ENST00000470681,ENSG00000188493,C19orf54,0.882751754
hsa-miR-122-5p,ENST00000301887,ENSG00000168062,BATF2,0.881124531
hsa-miR-122-5p,ENST00000376208,ENSG00000148053,NTRK2,0.880395215
hsa-miR-122-5p,ENST00000400256,ENSG00000158270,COLEC12,0.880255791
hsa-miR-122-5p,ENST00000264245,ENSG00000031081,ARHGAP31,0.880035467
hsa-miR-122-5p,ENST00000373109,ENSG00000107742,SPOCK2,0.877708618
hsa-miR-122-5p,ENST00000482108,ENSG00000242265,PEG10,0.877493333
hsa-miR-122-5p,ENST00000334888,ENSG00000187049,TMEM216,0.876886635
hsa-miR-122-5p,ENST00000336077,ENSG00000125498,KIR2DL1,0.875041759
hsa-miR-122-5p,ENST00000578205,ENSG00000126858,RHOT1,0.874694697
hsa-miR-122-5p,ENST00000299163,ENSG00000166135,HIF1AN,0.87421499
hsa-miR-122-5p,ENST00000375779,ENSG00000213719,CLIC1,0.872827134
hsa-miR-122-5p,ENST00000354833,ENSG00000172058,SERF1A,0.872171462
hsa-miR-122-5p,ENST00000431473,ENSG00000177181,RIMKLA,0.870790225
hsa-miR-122-5p,ENST00000236192,ENSG00000117533,VAMP4,0.870754526
hsa-miR-122-5p,ENST00000448346,ENSG00000227839,AL645730.2,0.870072561
hsa-miR-122-5p,ENST00000354300,ENSG00000196850,PPTC7,0.869856223
hsa-miR-122-5p,ENST00000242728,ENSG00000123095,BHLHE41,0.868965568
hsa-miR-122-5p,ENST00000230036,ENSG00000112293,GPLD1,0.868723919
hsa-miR-122-5p,ENST00000369707,ENSG00000065621,GSTO2,0.867030337
hsa-miR-122-5p,ENST00000331426,ENSG00000184898,RBM43,0.864146569
hsa-miR-122-5p,ENST00000495910,ENSG00000196712,NF1,0.863541227
hsa-miR-122-5p,ENST00000396444,ENSG00000138592,USP8,0.863180663
hsa-miR-122-5p,ENST00000502515,ENSG00000249109,RP11-1026M7.2,0.862657084
hsa-miR-122-5p,ENST00000577831,ENSG00000125686,MED1,0.861419183
hsa-miR-122-5p,ENST00000260653,ENSG00000138083,SIX3,0.861054238
hsa-miR-122-5p,ENST00000265354,ENSG00000112658,SRF,0.860082592
hsa-miR-122-5p,ENST00000418511,ENSG00000232070,TMEM253,0.859475181
hsa-miR-122-5p,ENST00000354333,ENSG00000182912,C21orf90,0.857691299
hsa-miR-122-5p,ENST00000405954,ENSG00000188542,DUSP28,0.856955575
hsa-miR-122-5p,ENST00000383701,ENSG00000163378,EOGT,0.856684255
hsa-miR-122-5p,ENST00000335255,ENSG00000141568,FOXK2,0.854933124
hsa-miR-122-5p,ENST00000324198,ENSG00000100077,ADRBK2,0.854200482
hsa-miR-122-5p,ENST00000231368,ENSG00000113441,LNPEP,0.854121923
hsa-miR-122-5p,ENST00000391728,ENSG00000167633,KIR3DL1,0.85339457
hsa-miR-122-5p,ENST00000509549,ENSG00000242259,C22orf39,0.852741701
hsa-miR-122-5p,ENST00000282077,ENSG00000152256,PDK1,0.852723423
hsa-miR-122-5p,ENST00000270649,ENSG00000142556,ZNF614,0.851583009
hsa-miR-122-5p,ENST00000264839,ENSG00000079841,RIMS1,0.851534351
hsa-miR-122-5p,ENST00000326665,ENSG00000178965,C1orf173,0.850958048
hsa-miR-122-5p,ENST00000582913,ENSG00000154864,PIEZO2,0.850433889
hsa-miR-122-5p,ENST00000367080,ENSG00000123836,PFKFB2,0.849727176
hsa-miR-122-5p,ENST00000359591,ENSG00000197324,LRP10,0.849381696
hsa-miR-122-5p,ENST00000393276,ENSG00000175984,DENND2C,0.848828162
hsa-miR-122-5p,ENST00000275532,ENSG00000243335,KCTD7,0.848668949
hsa-miR-122-5p,ENST00000339350,ENSG00000169598,DFFB,0.846641656
hsa-miR-122-5p,ENST00000370783,ENSG00000101928,MOSPD1,0.846549381
hsa-miR-122-5p,ENST00000353172,ENSG00000151364,KCTD14,0.845326785
hsa-miR-122-5p,ENST00000371068,ENSG00000096093,EFHC1,0.844513994
hsa-miR-122-5p,ENST00000336803,ENSG00000165376,CLDN2,0.844366797
hsa-miR-122-5p,ENST00000453547,ENSG00000269891,ARHGAP19-SLIT1,0.843035697
hsa-miR-122-5p,ENST00000378910,ENSG00000161270,NPHS1,0.840427439
hsa-miR-122-5p,ENST00000293677,ENSG00000161847,RAVER1,0.84028495
hsa-miR-122-5p,ENST00000517311,ENSG00000120533,ENY2,0.839945605
hsa-miR-122-5p,ENST00000258341,ENSG00000135862,LAMC1,0.839776297
hsa-miR-122-5p,ENST00000359085,ENSG00000189013,KIR2DL4,0.839416578
hsa-miR-122-5p,ENST00000534073,ENSG00000174165,ZDHHC24,0.838434105
hsa-miR-122-5p,ENST00000520626,ENSG00000168487,BMP1,0.838074029
hsa-miR-122-5p,ENST00000402034,ENSG00000214491,SEC14L6,0.83683237
hsa-miR-122-5p,ENST00000548184,ENSG00000258830,RP11-123K3.4,0.836754651
hsa-miR-122-5p,ENST00000475390,ENSG00000121871,SLITRK3,0.835909919
hsa-miR-122-5p,ENST00000328252,ENSG00000182752,PAPPA,0.835778962
hsa-miR-122-5p,ENST00000361360,ENSG00000198914,POU3F3,0.834287321
hsa-miR-122-5p,ENST00000392238,ENSG00000138439,FAM117B,0.832444852
hsa-miR-122-5p,ENST00000343882,ENSG00000118689,FOXO3,0.83014845
hsa-miR-122-5p,ENST00000558158,ENSG00000166069,TMCO5A,0.829794142
hsa-miR-122-5p,ENST00000300853,ENSG00000012061,ERCC1,0.827415529
hsa-miR-122-5p,ENST00000264031,ENSG00000110375,UPK2,0.826769925
hsa-miR-122-5p,ENST00000395699,ENSG00000146676,PURB,0.82671657
hsa-miR-122-5p,ENST00000359675,ENSG00000101079,NDRG3,0.82542775
hsa-miR-122-5p,ENST00000593303,ENSG00000268759,AC135983.2,0.823922588
hsa-miR-122-5p,ENST00000442744,ENSG00000221983,UBA52,0.823452135
hsa-miR-122-5p,ENST00000317775,ENSG00000089250,NOS1,0.820616718
hsa-miR-122-5p,ENST00000318063,ENSG00000155970,MICU3,0.819753457
hsa-miR-122-5p,ENST00000356518,ENSG00000149451,ADAM33,0.818236544
hsa-miR-122-5p,ENST00000401070,ENSG00000169218,RSPO1,0.818231163
hsa-miR-122-5p,ENST00000373095,ENSG00000167106,FAM102A,0.818078924
hsa-miR-122-5p,ENST00000589425,ENSG00000087157,PGS1,0.817520025
hsa-miR-122-5p,ENST00000418100,ENSG00000196081,ZNF724P,0.817051203
hsa-miR-122-5p,ENST00000334464,ENSG00000165650,PDZD8,0.816391449
hsa-miR-122-5p,ENST00000369426,ENSG00000116874,WARS2,0.816203278
hsa-miR-122-5p,ENST00000261978,ENSG00000119681,LTBP2,0.815759526
hsa-miR-122-5p,ENST00000337006,ENSG00000135049,AGTPBP1,0.815211284
hsa-miR-122-5p,ENST00000370549,ENSG00000172987,HPSE2,0.814738073
hsa-miR-122-5p,ENST00000424699,ENSG00000180228,PRKRA,0.814247026
hsa-miR-122-5p,ENST00000547439,ENSG00000136044,APPL2,0.813868223
hsa-miR-122-5p,ENST00000330258,ENSG00000184675,AMER1,0.813425457
hsa-miR-122-5p,ENST00000265071,ENSG00000113361,CDH6,0.812233166
hsa-miR-122-5p,ENST00000373204,ENSG00000092847,AGO1,0.810776954
hsa-miR-122-5p,ENST00000239944,ENSG00000120742,SERP1,0.810686756
hsa-miR-122-5p,ENST00000367636,ENSG00000184909,C1ORF220,0.810352444
hsa-miR-122-5p,ENST00000264158,ENSG00000115839,RAB3GAP1,0.809701224
hsa-miR-122-5p,ENST00000216468,ENSG00000100580,TMED8,0.809484755
hsa-miR-122-5p,ENST00000423994,ENSG00000007402,CACNA2D2,0.808634856
hsa-miR-122-5p,ENST00000378115,ENSG00000213214,ARHGEF35,0.807929509
hsa-miR-122-5p,ENST00000353065,ENSG00000163421,PROK2,0.807803163
hsa-miR-122-5p,ENST00000376352,ENSG00000166263,STXBP4,0.807103268
hsa-miR-122-5p,ENST00000370205,ENSG00000172339,ALG14,0.80617488
hsa-miR-122-5p,ENST00000369422,ENSG00000119913,TECTB,0.804288894
hsa-miR-122-5p,ENST00000261590,ENSG00000046604,DSG2,0.804150748
hsa-miR-122-5p,ENST00000337339,ENSG00000005302,MSL3,0.804005343
hsa-miR-122-5p,ENST00000585558,ENSG00000153822,KCNJ16,0.803955141
hsa-miR-122-5p,ENST00000331161,ENSG00000151023,ENKUR,0.803770415
hsa-miR-122-5p,ENST00000426658,ENSG00000124092,CTCFL,0.803597641
hsa-miR-122-5p,ENST00000328902,ENSG00000133561,GIMAP6,0.802514794
hsa-miR-122-5p,ENST00000302555,ENSG00000169347,GP2,0.802109565
hsa-miR-122-5p,ENST00000373664,ENSG00000080839,RBL1,0.801933297
hsa-miR-122-5p,ENST00000282541,ENSG00000152642,GPD1L,0.801127604
hsa-miR-122-5p,ENST00000508024,ENSG00000153015,CWC27,0.800770374
hsa-miR-122-5p,ENST00000376723,ENSG00000136731,UGGT1,0.800444974
hsa-miR-122-5p,ENST00000330236,ENSG00000198315,ZKSCAN8,0.800255454
hsa-miR-122-5p,ENST00000511441,ENSG00000118564,FBXL5,0.800194214
hsa-miR-122-5p,ENST00000491718,ENSG00000090905,TNRC6A,0.799163608
hsa-miR-122-5p,ENST00000361354,ENSG00000061676,NCKAP1,0.798450422
hsa-miR-122-5p,ENST00000495665,ENSG00000179636,TPPP2,0.797284973
hsa-miR-122-5p,ENST00000409003,ENSG00000177570,SAMD12,0.797263245
hsa-miR-122-5p,ENST00000457361,ENSG00000030419,IKZF2,0.796587568
hsa-miR-122-5p,ENST00000586529,ENSG00000267303,CTD-2369P2.12,0.796487508
hsa-miR-122-5p,ENST00000370021,ENSG00000134186,PRPF38B,0.79564242
hsa-miR-122-5p,ENST00000291478,ENSG00000160145,KALRN,0.79551675
hsa-miR-122-5p,ENST00000526775,ENSG00000198216,CACNA1E,0.795417029
hsa-miR-122-5p,ENST00000576436,ENSG00000134419,RPS15A,0.794715677
hsa-miR-122-5p,ENST00000333141,ENSG00000182308,DCAF4L1,0.793556273
hsa-miR-122-5p,ENST00000367160,ENSG00000133059,DSTYK,0.793232433
hsa-miR-122-5p,ENST00000359332,ENSG00000197776,KLHDC1,0.793083053
hsa-miR-122-5p,ENST00000596002,ENSG00000167775,CD320,0.792484324
hsa-miR-122-5p,ENST00000407418,ENSG00000183741,CBX6,0.790934187
hsa-miR-122-5p,ENST00000429989,ENSG00000108219,TSPAN14,0.79006456
hsa-miR-122-5p,ENST00000040584,ENSG00000037965,HOXC8,0.78957599
hsa-miR-122-5p,ENST00000595101,ENSG00000053501,USE1,0.789480937
hsa-miR-122-5p,ENST00000264033,ENSG00000110395,CBL,0.789249742
hsa-miR-122-5p,ENST00000326402,ENSG00000180773,SLC36A4,0.789115131
hsa-miR-122-5p,ENST00000239761,ENSG00000120586,MRC1,0.788689443
hsa-miR-122-5p,ENST00000266744,ENSG00000139352,ASCL1,0.788303114
hsa-miR-122-5p,ENST00000339613,ENSG00000124440,HIF3A,0.788216547
hsa-miR-122-5p,ENST00000490716,ENSG00000102710,SUPT20H,0.788176317
hsa-miR-122-5p,ENST00000395172,ENSG00000177335,C8orf31,0.788027566
hsa-miR-122-5p,ENST00000591589,ENSG00000080511,RDH8,0.787804939
hsa-miR-122-5p,ENST00000368655,ENSG00000143614,GATAD2B,0.787048439
hsa-miR-122-5p,ENST00000607772,ENSG00000153721,CNKSR3,0.786753046
hsa-miR-122-5p,ENST00000335154,ENSG00000161791,FMNL3,0.785737974
hsa-miR-122-5p,ENST00000261655,ENSG00000060709,RIMBP2,0.785400212
hsa-miR-122-5p,ENST00000367929,ENSG00000198574,SH2D1B,0.783979314
hsa-miR-122-5p,ENST00000331429,ENSG00000183748,MRC1L1,0.783885871
hsa-miR-122-5p,ENST00000441159,ENSG00000170379,FAM115C,0.78379302
hsa-miR-122-5p,ENST00000399002,ENSG00000172296,SPTLC3,0.783166326
hsa-miR-122-5p,ENST00000311177,ENSG00000170689,HOXB9,0.782166579
hsa-miR-122-5p,ENST00000400590,ENSG00000180776,ZDHHC20,0.781742986
hsa-miR-122-5p,ENST00000451516,ENSG00000127329,PTPRB,0.781163283
hsa-miR-122-5p,ENST00000579387,ENSG00000140829,DHX38,0.780704149
hsa-miR-122-5p,ENST00000372172,ENSG00000126107,HECTD3,0.780244072
hsa-miR-122-5p,ENST00000357121,ENSG00000122126,OCRL,0.779659492
hsa-miR-122-5p,ENST00000373535,ENSG00000146192,FGD2,0.77897937
hsa-miR-122-5p,ENST00000366935,ENSG00000092978,GPATCH2,0.778409188
hsa-miR-122-5p,ENST00000553530,ENSG00000182732,RGS6,0.778248462
hsa-miR-122-5p,ENST00000332585,ENSG00000184792,OSBP2,0.777734333
hsa-miR-122-5p,ENST00000367137,ENSG00000133065,SLC41A1,0.777569297
hsa-miR-122-5p,ENST00000599439,ENSG00000268397,AC008443.1,0.777005277
hsa-miR-122-5p,ENST00000251582,ENSG00000087116,ADAMTS2,0.775754953
hsa-miR-122-5p,ENST00000299333,ENSG00000166257,SCN3B,0.775147259
hsa-miR-122-5p,ENST00000399150,ENSG00000204516,MICB,0.775135686
hsa-miR-122-5p,ENST00000401642,ENSG00000184178,SCFD2,0.774453766
hsa-miR-122-5p,ENST00000341846,ENSG00000137699,TRIM29,0.774409285
hsa-miR-122-5p,ENST00000367619,ENSG00000057252,SOAT1,0.77393847
hsa-miR-122-5p,ENST00000376741,ENSG00000167182,SP2,0.773826865
hsa-miR-122-5p,ENST00000558084,ENSG00000055609,KMT2C,0.772941759
hsa-miR-122-5p,ENST00000426513,ENSG00000115204,MPV17,0.772886451
hsa-miR-122-5p,ENST00000497194,ENSG00000137496,IL18BP,0.772013786
hsa-miR-122-5p,ENST00000233813,ENSG00000115461,IGFBP5,0.771577228
hsa-miR-122-5p,ENST00000513978,ENSG00000155324,GRAMD3,0.771445454
hsa-miR-122-5p,ENST00000367701,ENSG00000185278,ZBTB37,0.769788207
hsa-miR-122-5p,ENST00000342192,ENSG00000185651,UBE2L3,0.769449099
hsa-miR-122-5p,ENST00000239367,ENSG00000120256,LRP11,0.768390602
hsa-miR-122-5p,ENST00000534968,ENSG00000066294,CD84,0.768099628
hsa-miR-122-5p,ENST00000397038,ENSG00000170471,RALGAPB,0.768053361
