,103_AM_(CVD),105_CD40-L_(CVD),106_GDF-15_(CVD),107_PlGF_(CVD),108_SELE_(CVD),109_EGF_(CVD),111_SRC_(CVD),112_IL-1ra_(CVD),113_IL-6_(CVD),114_CSTB_(CVD),116_KLK6_(CVD),117_Gal-3_(CVD),118_PAR-1_(CVD),121_hK11_(CVD),122_TIE2_(CVD),123_TF_(CVD),124_TNF-R1_(CVD),125_PDGF subunit B_(CVD),126_IL27-A_(CVD),129_LOX-1_(CVD),130_TRAIL-R2_(CVD),134_IL-6RA_(CVD),135_TNF-R2_(CVD),136_MMP-3_(CVD),137_HSP 27_(CVD),139_PRL_(CVD),140_MPO_(CVD),141_GH_(CVD),143_RETN_(CVD),144_FAS_(CVD),145_PAPPA_(CVD),148_PTX3_(CVD),149_REN_(CVD),150_CHI3L1_(CVD),151_ST2_(CVD),152_TIM_(CVD),154_mAmP_(CVD),157_PSGL-1_(CVD),158_MB_(CVD),159_TM_(CVD),160_IL-16_(CVD),162_U-PAR_(CVD),164_CTSD_(CVD),165_RAGE_(CVD),166_CCL3_(CVD),167_MMP-7_(CVD),170_CXCL16_(CVD),171_Dkk-1_(CVD),172_SIRT2_(CVD),173_GAL_(CVD),174_AGRP_(CVD),177_t-PA_(CVD),178_HB-EGF_(CVD),179_ESM-1_(CVD),181_VEGF-D_(CVD),182_MMP-12_(CVD),183_SPON1_(CVD),185_CTSL1_(CVD),187_FABP4_(CVD),188_BNP_(CVD),189_LEP_(CVD),191_CA-125_(CVD),192_NEMO_(CVD),193_FS_(CVD),194_PECAM-1_(CVD),195_NT-pro-BNP_(CVD),196_ECP_(CVD),101_IL-8_(INF),102_VEGF-A_(INF),103_BDNF_(INF),105_MCP-3_(INF),106_GDNF_(INF),107_CDCP1_(INF),108_CD244_(INF),109_IL-7_(INF),110_OPG_(INF),111_LAP TGF-beta-1_(INF),112_uPA_(INF),114_IL-17C_(INF),115_MCP-1_(INF),116_IL-17A_(INF),117_CXCL11_(INF),118_AXIN1_(INF),120_TRAIL_(INF),122_CXCL9_(INF),123_CST5_(INF),126_OSM_(INF),128_CXCL1_(INF),130_CCL4_(INF),131_CD6_(INF),132_SCF_(INF),133_IL-18_(INF),134_SLAMF1_(INF),135_TGF-alpha_(INF),136_MCP-4_(INF),137_CCL11_(INF),138_TNFSF14_(INF),139_FGF-23_(INF),140_IL-10RA_(INF),141_FGF-5_(INF),142_MMP-1_(INF),143_LIF-R_(INF),144_FGF-21_(INF),145_CCL19_(INF),148_IL-15RA_(INF),149_IL-10RB_(INF),151_IL-18R1_(INF),152_PD-L1_(INF),153_Beta-NGF_(INF),154_CXCL5_(INF),155_TRANCE_(INF),156_HGF_(INF),157_IL-12B_(INF),161_MMP-10_(INF),162_IL-10_(INF),164_CCL23_(INF),165_CD5_(INF),166_MIP-1 alpha_(INF),167_Flt3L_(INF),168_CXCL6_(INF),169_CXCL10_(INF),170_4E-BP1_(INF),173_CCL28_(INF),174_DNER_(INF),175_EN-RAGE_(INF),176_CD40_(INF),179_FGF-19_(INF),183_MCP-2_(INF),184_CASP-8_(INF),185_CCL25_(INF),186_CX3CL1_(INF),187_TNFRSF9_(INF),188_NT-3_(INF),189_TWEAK_(INF),190_CCL20_(INF),191_ST1A1_(INF),192_STAMPB_(INF),194_ADA_(INF),195_TNFB_(INF),196_CSF-1_(INF),miR-16-5p,miR-19b-3p,miR-20b-5p,miR-21-5p,miR-24-3p,miR-26a-5p,miR-27b-3p,miR-28-5p,miR-29a-3p,miR-30b-5p,miR-92a-3p,miR-93-5p,miR-99b-5p,miR-122-5p,miR-126-3p,miR-126-5p(*),miR-130a-3p,miR-140-5p,miR-143-3p,miR-145-5p,miR-150-5p,miR-191-5p,miR-192-5p,miR-197-3p,miR-221-3p,miR-222-3p,miR-223-3p,miR-223-5p(*),miR-320a,miR-324-5p,miR-375,miR-486-5p,hsa-miR-574-3p,miR-885-5p,let-7b-5p,let-7d-5p,RNY4-3p,RNY4-5p,RNY5-5p
144_FAS_(CVD),0.489034352,0.246362371,0.437649644,0.678399624,0.300097627,0.062035471,0.181999938,0.299146059,0.153880494,0.510901164,0.501650872,0.468331052,0.637816868,0.554609615,0.610254007,0.543056229,0.63886726,0.156213733,0.258333335,0.4269316,0.602048825,0.375093172,0.646048465,0.251459168,0.339623155,0.244576921,0.307460942,0.083465345,0.427758551,0,0.341989698,0.257434598,0.227866667,0.254298025,0.21019925,0.436699318,0.0386895,0.141699358,0.436457542,0.684386862,0.510599409,0.519279132,0.348198149,0.456127231,0.478286474,0.490503659,0.58481182,0.405328318,0.377532693,0.113247082,0.357613458,0.308749382,0.580480971,0.297845188,0.28161165,0.302030598,0.510270307,0.449216704,0.401900869,0.126899015,0.193055165,0.203680165,0.247124278,0.423905661,0.485499066,0.209160356,0.347312463,0.143297633,0.239056145,0.03670378,0.120582457,0.170844559,0.115198077,0.228725627,0.150365097,0.185455046,0.252673335,0.19073156,0.225658579,0.221043155,0.193398636,0.213856046,0.135828875,0.151969587,0.226832745,0.218688784,0.077566054,0.115480875,0.069221648,0.04552908,0.09451187,0.077760283,0.27670341,0.243701801,0.100385367,0.062176559,0.243104507,0.263048292,0,0.209070452,0.034877851,0.174897979,0.147949505,0.131840274,0.238940419,0.357189883,0.150506807,0.355775582,0.145578663,0.000336095,0.041618077,0.193447353,0.275666677,0.202436911,0.14447251,0.171395945,0.223517482,0.25804805,0.145774135,0.196985435,0.204511281,0.250581562,0.037503211,0,0.066890585,0.299999114,0.071420325,0.129859134,0.137351977,0.205650242,0.245599034,0.306093877,0.012651907,0.106925148,0.112888457,0,0.16929516,0.071681059,0.12935911,0.237855652,0.107823789,0.057287294,0.04916385,0.056831176,0.050326246,0.03381081,0.026279194,0.030858113,0.003937316,0.079542698,0.110167246,0.071328113,0.000879954,0.070929319,0.05763272,0.132016468,0.042416271,0.0752246,0.069485672,0.079554861,0.00892172,0.025419832,0.026031072,0.103630395,0.005593236,0.036636845,0.084106668,0.097687958,0.015415502,0.030064301,0.056166749,0.074966854,0.104875428,0.065813648,0.03408674,0.044415036,0.136293718,0.127057288,0.204825128
145_PAPPA_(CVD),0.176075323,0.099490966,0.245031618,0.325506809,0.240880638,0,0.028541705,0.095871345,0.170283266,0.191763697,0.256626391,0.048194188,0.208321837,0.229316905,0.33931362,0.292931703,0.210381179,0.10352584,0.273999426,0.317019547,0.297785956,0.20260409,0.265817554,0.344460094,0.139188391,0,0.345127624,0.001346035,0.25577199,0.341989698,0,0.426175805,0.104166092,0.229655531,0.226902634,0.204726454,0,0.081438078,0.246104871,0.29501801,0.211922237,0.268058437,0.225490128,0.089361278,0.25926265,0.170933552,0.106088103,0.259792222,0.222644737,0.182717391,0.170956127,0.09299021,0.311922613,0.523749533,0.259928299,0.088579305,0.237290272,0.1824907,0.033430761,0.243180966,0,0.207140643,0.155237025,0.3401166,0.311013969,0.224962124,0.293680441,0.089200744,0,0.093368474,0.063001779,0.082289373,0.175633542,0.126405294,0.051751632,0.084172789,0.111848492,0.128472788,0.125273878,0.082099024,0.23427244,0.168221416,0.09576893,0,0.111762268,0.157620883,0.132709991,0.035441818,0.116319597,0.047968438,0,0.107410622,0.161031743,0.154485465,0.070480735,0.034358218,0.091464202,0,0.009027551,0.05374181,0,0.159685869,0,0.059844458,0.127179756,0.046226086,0.053409641,0.204965059,0.128230734,0,0,0.072661731,0.065299771,0.055305001,0.120400119,0.11870565,0,0.126991617,0,0.11503094,0.149914654,0.11986544,0.053522203,0,0.106147676,0.024962939,0.127476666,0.102579884,0.051268878,0.051890531,0.0960347,0.03297738,0,0.116425888,0.117707646,0,0.053174171,0.018522792,0.011473433,0.119747235,0.040670062,0.007370624,0.015909534,0.002343324,0.026008809,0.014155202,0.018795953,0.063127059,0.029410631,0.033444727,0.032503994,0.014793026,0.047842729,0.000829368,0.014809134,0.064310584,0.023864472,0.034118921,0.062914917,0.01750644,0.063542349,0.063243784,0.034577859,0.019453351,0.003759434,0.057295678,0.0049556,0.005481034,0.03007131,0.073402981,0.053696958,0.056825494,0.004463248,0.043832,0.074450585,0.083712501,0.05971399,0.011848933,0.077937923
148_PTX3_(CVD),0.24977529,0.129648573,0.347124408,0.355575629,0.131481812,0,0.053654737,0.068785031,0.279522299,0.298000587,0.228412791,0.16281169,0.276075993,0.235040473,0.30966702,0.303240427,0.290523537,0.064285395,0.394143483,0.288174929,0.416502177,0.175680834,0.319489486,0.307124663,0.157934132,0.122846418,0.341779873,0.193263792,0.276598509,0.257434598,0.426175805,0,0.155234414,0.23242981,0.287265235,0.17080168,0.027092518,0.113159289,0.195937017,0.229941716,0.099308313,0.304062664,0.213644779,0.110512238,0.305397201,0.270674961,0.199030617,0.251880035,0.238938434,0.153439603,0.214871749,0,0.294733986,0.514507233,0.311433104,0.16061789,0.330725649,0.313140138,0.067403572,0.295929001,0,0.155279437,0.134336338,0.312003179,0.264617035,0.328903387,0.222832054,0.161224353,0.06122148,0,0.135805737,0.195403733,0.138820972,0.043484353,0.007346501,0.079917457,0.064865365,0.064160911,0.113618907,0,0.187417842,0.145397584,0.029540551,0,0.171308236,0.150661683,0.206888781,0.102879422,0.075068945,0,0,0.00978544,0.139595114,0.250425801,0,0.047165584,0.05341311,0.004475697,0.013468682,0.140647181,0,0.154550387,0,0,0.103056992,0.028975524,0.108638586,0.148101452,0.132994778,0,0,0.023507463,0.066789449,0.077478838,0.055066471,0.175403457,0,0.14108276,0,0.07292462,0.138037997,0.089185488,0.049356192,0,0.040513004,0.061412995,0.056147939,0.060323596,0.097989257,0.10059593,0.102652158,0.05477829,0.081184702,0.021704352,0.070596121,0,0.015130932,0,0,0.0814866,0.00987502,0.041034292,0.016643473,0.009552892,0.010038017,0.010296988,0.014340275,0.055712736,0.059309915,0.049147694,0.033429123,0.048173375,0.014269714,0.164678715,0.047083353,0.090598643,0.010757943,0.059543288,0.153690561,0.021979836,0.116883914,0.046778333,0.001404921,0.084933803,0.013942123,0.038289187,0.031184497,0.038294126,0.011012147,0.163958614,0.01015374,0.012003388,0.027094656,0.162655144,0.002536054,0.035230963,0.09184409,0.0393614,0.205406931
149_REN_(CVD),0.405409118,0.072718776,0.349170229,0.328678561,0.184278482,0.043111934,0.072990942,0.216632128,0.236657023,0.307895083,0.203731566,0.130123286,0.259190741,0.214890589,0.226940892,0.228850866,0.330170554,0.091151235,0.16593235,0.180222351,0.365134953,0.187615188,0.292798642,0.301981808,0.101418978,0.108318628,0.234474506,0,0.334095852,0.227866667,0.104166092,0.155234414,0,0.244709308,0.326132758,0.255060647,0,0,0.335905138,0.154884893,0.203073051,0.303499905,0.223111309,0.012149282,0.220073562,0.311228681,0.228773174,0.077970362,0.125196385,0.079525129,0.183176502,0.318400874,0.266279337,0,0.009387184,0.154979677,0.136740138,0.182062713,0.287342816,0.138927061,0.179835446,0.087913029,0.067511186,0.130675208,0.195462677,0.171298054,0.244247508,0.096877428,0.296254993,0.053197837,0.105681494,0.103650107,0.075686846,0.04041199,0,0.067916116,0.146439177,0.017281289,0.103186492,0.11780013,0.049107684,0.089975603,0.063625308,0,0.160749377,0.167036195,0.117753204,0.012417474,0.031261144,0,0,0.120546689,0.175105225,0.263216106,0.066241703,0.052620162,0.113252987,0.14931688,0,0.01861586,0.147544575,0.148092147,0.18275821,0.127509114,0.146594813,0.158818582,0.211894173,0.217578102,0.142758763,0,0,0.226736718,0.033806015,0.133779149,0.068187804,0.099216883,0,0.136193498,0,0.074810793,0.168383059,0.253168386,0.009818529,0,0.195569581,0.164090123,0.03895356,0.090920957,0.145054443,0.076738481,0.082553865,0.105641059,0.035770897,0,0.150270624,0,0.089607655,0.063928353,0,0.070488024,0.004509253,0.001379476,0.015263469,0.010584847,0.015034554,0.012250381,0.044636055,0.008414476,0.000865884,0.016811454,0.039358732,0.010607498,0.083892879,0.020600332,0.002172773,0.019841183,0.007213635,0.035351926,0.068097788,0.057216929,0.061992156,0.040988226,0.057656926,0.011513878,0.001892039,0.000986688,0.036928905,0.012251063,0.079555211,0.094580663,0.079081251,0.007500718,0.036111272,0.015507135,0.014153231,0.047239882,0.045945347,0.026593905,0.062820288
150_CHI3L1_(CVD),0.441161933,0.042321414,0.44764298,0.3623424,0.224935201,0,0,0.240838083,0.348464788,0.375237989,0.247608453,0.172279145,0.324599433,0.311048126,0.240031021,0.281333514,0.449987406,0.066366631,0.220163684,0.28841403,0.459454924,0.170379426,0.4330332,0.347040853,0.115264892,0.211752774,0.221066773,0,0.345510947,0.254298025,0.229655531,0.23242981,0.244709308,0,0.354571671,0.333634363,0,0.074948774,0.225266479,0.292810762,0.258126364,0.419487175,0.436649596,0.079397404,0.36630468,0.339330412,0.197503484,0.073135448,0.11162985,0.06963559,0.238720827,0.287652961,0.312891596,0.115781387,0.091374676,0.149178278,0.231900112,0.243212343,0.200267446,0.297526826,0,0.085978162,0.028057757,0.385304666,0.220853276,0.281827944,0.213750074,0.276917514,0.405649651,0.017370656,0.184123956,0.237018081,0.262198344,0.166457546,0.11588363,0.330302008,0.309225788,0.107030809,0.205616093,0.284922252,0.258780321,0.226538759,0.016855521,0,0.314362456,0.28452043,0.279095059,0.052796989,0.229479548,0.031546739,0,0.221203511,0.333908787,0.449859992,0.16275196,0.262839767,0.158324773,0.224844768,0.156968037,0.13041348,0.123001438,0.203746794,0.36042994,0.17099692,0.319346991,0.28496638,0.189789003,0.283100224,0.305636739,0,0,0.312459319,0.159345332,0.22737379,0.18369909,0.218373355,0.192552965,0.301166666,0.072195689,0.198777007,0.225516957,0.329291394,0.212868117,0,0.220848304,0.315003879,0.054911758,0.256503849,0.135558832,0.175614919,0.251443629,0.279221541,0.029436649,0,0.248824485,0,0.054265674,0.039633829,0,0.25870843,0.128764925,0.1028505,0.14213838,0.038335322,0.069579021,0.130884138,0.032368518,0.072584553,0.049975174,0.123066809,0.027149195,0.074720947,0.055690065,0.07895118,0.082124726,0.074931327,0.099477055,0.079931018,0.061689119,0.14348676,0.005281098,0.054980321,0.031015479,0.036476916,0.077136373,0.010523072,0.103494146,0.008948489,0.00812379,0.024289001,0.069836241,0.09538495,0.09682988,0.010735682,0.095880893,0.0375319,0.080444768,0.084841107,0.08542557
151_ST2_(CVD),0.299939758,0.078369149,0.291636373,0.301709576,0.279880678,0.021235178,9.8047E-05,0.119953124,0.29174421,0.211002583,0.101477713,0.125086374,0.237488014,0.224766765,0.240707561,0.213874692,0.291267804,0.061648256,0.218676975,0.205485535,0.292325655,0.048421389,0.275344411,0.490927545,0.112769744,0.084302862,0.244767732,0,0.267102248,0.21019925,0.226902634,0.287265235,0.326132758,0.354571671,0,0.159711726,0,0.032896711,0.208431918,0.222536701,0.20900404,0.28704075,0.252820017,0,0.271792033,0.214992831,0.156971693,0.144295506,0.151595113,0.130845198,0.128181303,0.192649614,0.207495266,0.138234927,0.192441089,0.184030801,0.15000989,0.269304343,0.059011086,0.23047171,0,0.137750488,0.118225881,0.260157848,0.269831715,0.210975546,0.134967833,0.21038975,0.1736546,0.175555001,0.193471466,0.226814083,0.110271488,0,0.025778281,0.061977669,0.154605513,0,0.224134013,0.031143363,0.265866042,0.195784632,0.079729773,0,0.161749426,0.11398764,0.227081669,0.060538817,0.075840675,0,0,0.078633539,0.172312508,0.170263199,0.022525172,0.166533684,0.107208257,0.036412108,0.089455627,0.063655631,0.044272027,0.204321402,0.042224383,0.072563637,0.192219382,0.034955542,0.245863497,0.268135238,0.216898144,0,0,0.114456898,0,0.134648676,0.160660984,0.116251578,0,0.217357147,0,0.089310873,0.124046858,0.209888483,0.072075422,0,0.136336451,0.092151283,0,0.060071424,0.156624761,0.087860212,0.102465641,0,0.040258745,0,0.169009254,0,0.077866876,0.020013553,0,0.045737605,0.01279555,0.013650275,0.020127756,0.014412854,0.015058578,0.057046723,0.013096354,0.038248493,0.062699509,0.046224034,0.016295969,0.043464384,0.038025082,0.005016151,0.003766747,0.015882418,0.092583622,0.018949391,0.036269286,0.08388462,0.004771109,0.010169923,0.001176647,0.036888065,0.039380531,0.02405151,0.034515895,0.000894025,0.034114187,0.008501991,0.013574083,0.027049156,0.012734294,0.006680308,0.025039236,0.014204534,0.013433029,0.013224366,0.023629035
152_TIM_(CVD),0.409041363,0.14286536,0.449299368,0.4349497,0.275001325,0.000962601,0.07608556,0.249479271,0.239647534,0.411253713,0.281565968,0.292071758,0.402399961,0.343105299,0.265500555,0.442373303,0.453070526,0.079641045,0.195915775,0.341040874,0.441879183,0.164965865,0.427322855,0.179327342,0.159977121,0.225826792,0.226444907,0.076442942,0.266250436,0.436699318,0.204726454,0.17080168,0.255060647,0.333634363,0.159711726,0,0,0.086231482,0.333958182,0.366324258,0.344559689,0.461067494,0.261444423,0.23591429,0.322094651,0.535355422,0.364966517,0.177269753,0.185341616,0.057382046,0.249023065,0.256573461,0.386566691,0.126500053,0.212476861,0.270222971,0.381838681,0.253625214,0.33421674,0.237489717,0.194528822,0.136542099,0.121044227,0.315731074,0.273886603,0.306560028,0.250047975,0.238602425,0.296656815,0,0.19795912,0.150294424,0.172299034,0.200825894,0.13315544,0.295020626,0.201196018,0.131508064,0.171607405,0.216566866,0.175411638,0.11921412,0.06650505,0.01945759,0.293800866,0.186272363,0.135855695,0.021198818,0.167607074,0.049567809,0,0.109178209,0.24334006,0.305958694,0.116451401,0.169302929,0.153358716,0.281264834,0.069806576,0.237262681,0.136957053,0.257390157,0.202833139,0.122519749,0.24376475,0.261491971,0.123086277,0.241904324,0.208838712,0.027249141,0,0.272340848,0.119969595,0.23187898,0.080248814,0.139133044,0.219063569,0.233960808,0.144114018,0.162698198,0.257242853,0.260882867,0.102089924,0,0.185280084,0.300982381,0.091310658,0.147334186,0.205022437,0.20786166,0.237093962,0.221123333,0.042407487,0.017276938,0.201730537,0,0.140566301,0.072218996,0,0.200608047,0.092298458,0.064003295,0.088925847,0.009912869,0.040945501,0.075975183,0.066392957,0.041504049,0.013939421,0.099858698,0.089758074,0.050548976,0.062660203,0.033901917,0.016212404,0.035558524,0.011947851,0.04147008,0.007348511,0.104016833,0.018005771,0.052596139,0.021824176,0.049841993,0.035729441,0.02132825,0.066941727,0.009125235,0.004743825,0.012276116,0.016653923,0.113438771,0.128491785,0.022018419,0.042675048,0.022728146,0.081240639,0.096104796,0.1792639
154_mAmP_(CVD),0,0.168605837,0,0,0,0.117828064,0.121499574,0,0,0,0.018212718,0,0,0,0.045070884,0,0,0.057567675,0,0,0,0.020087941,0,0,0.0485327,0,0,0.06172412,0,0.0386895,0,0.027092518,0,0,0,0,0,0.037575829,0,0,0,0,0,0,0,0,0.040500201,0,0.056670218,0.125583261,0,0,0,0.001296937,0,0,0,0,0,0,0,0.042600846,0.120212932,0.03035842,0.023265591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107835904,0,0,0,0,0.043819248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004738162,0,0,0,0,0,0,0.009623899,0.034728333,0,0,0,0,0.003290562,0,0,0,0,0,0,0,0.032211335,0,0,0.039341229,0,0,0,0,0,0.041106237,0.015743424,0,0.084439407,0.028284144,0,0.000125266,0,0.020030276,0.053718369,0.08236835,0.037698931,0.057154718,0.070470704,0.062658266,0.064606236,0.109506031,0.09555699,0.045840777,0.016224547,0.096679013,0.038422592,0.058656669,0.009119032,0.029490037,0.076032446,0.104726484,0.031246633,0.077809564,0.073327462,0.041185776,0.048867269,0.057975011,0.041621242,0.07016799,0.032867242,0.043941406,0.00057486,0.010663169,0.028167404,0.070836712,0.096271592,0.002254048,0.11889776,0.047136661,0.038853549,0.088243316
157_PSGL-1_(CVD),0.0592799,0.091409496,0.067009298,0.101753985,0.075845648,0.053068599,0.092017343,0.093691755,0,0.116782368,0.100108784,0.125283089,0.184998219,0.166690932,0.138930735,0.119074275,0.144809204,0.07435552,0.043487651,0.098600632,0.136109591,0.070645894,0.205454148,0,0.105606253,0.002756659,0.10545522,0.043227539,0.057372412,0.141699358,0.081438078,0.113159289,0,0.074948774,0.032896711,0.086231482,0.037575829,0,0.069602338,0.203852455,0.154910065,0.122775199,0.06938045,0.112690498,0.12715111,0.144372887,0.048764786,0.121532753,0.1292376,0,0.085065484,0.092027909,0.210913392,0.114417431,0.165083335,0.146907814,0.208328122,0.087082051,0.108851904,0.039896196,0.050134958,0.040285724,0.116773666,0.074211945,0.089206455,0.004855269,0.038877422,0.107031431,0.062779448,0,0.109792802,0.080159268,0.040783978,0.172338191,0.19074399,0.112310741,0.100841262,0.170920472,0.053854589,0.149402651,0,0.06483051,0.100426758,0.084888658,0.141956673,0.061620908,0.023658228,0.084228278,0.164353343,0.24605928,0.10865177,0.091692591,0.184463819,0.103702494,0.144254485,0.170688329,0.111980085,0.127359945,0,0.115559287,0.091237939,0.004185566,0.056238734,0.128667964,0.095704922,0.19387186,0.055887256,0.052276454,0.057064442,0.12442444,0.080699829,0.122730449,0.172718259,0.076601744,0.085420685,0.038464724,0.296755328,0.037596751,0.124243574,0.185515335,0.065602455,0.067161574,0.109950155,0.062714808,0,0.094486076,0.015697931,0.067768502,0.059546907,0.129736381,0,0.21799857,0.062964659,0.133092354,0.085545308,0.037867602,0.140117243,0.071860682,0.167904788,0.110567959,0.054338916,0.023764259,0.052653467,0.082265422,0.052663239,0.09802501,0.064084621,0.110458963,0.070261834,0.090127548,0.007102782,0.038124599,0.041649918,0.015771566,0.104118437,0.074778604,0.027479011,0.116588461,0.044087117,0.037282397,0.171662798,0.064455273,0.002576372,0.027315989,0.110288413,0.082101718,0.025736601,0.049446288,0.053303814,0.057596846,0.117433732,0.060323543,0.013124164,0.060553312,0.02895493,0.051409368,0.029143507,0.034776724,0.020352201
158_MB_(CVD),0.43349096,0.093191669,0.452398958,0.557771359,0.187748196,0,0.041832195,0.145971473,0.225683217,0.456573181,0.427256351,0.331434754,0.401178646,0.427762902,0.309784858,0.498772237,0.563280326,0.099637972,0.335447999,0.300363955,0.499555681,0.299573985,0.522506448,0.380878411,0.22975613,0.204153588,0.294194297,0.003464586,0.379162355,0.436457542,0.246104871,0.195937017,0.335905138,0.225266479,0.208431918,0.333958182,0,0.069602338,0,0.501518175,0.432851401,0.412967283,0.140469964,0.319835996,0.461927076,0.372463772,0.356486306,0.238791371,0.192279801,0.168812539,0.297972602,0.144330933,0.570132118,0.177914905,0.119585176,0.211703052,0.380986558,0.257711179,0.286405543,0.278261089,0.018715168,0.177306915,0.072218064,0.335648444,0.360430251,0.346376744,0.225888634,0.216891618,0.375927892,0,0.163740041,0.185571084,0.186491454,0.205745958,0.130154673,0.288880802,0.275560084,0.250286333,0.16036062,0.271862578,0.203402834,0.254846839,0,0.111182346,0.333595517,0.314640592,0.136125751,0.032618264,0.170878518,0.074855855,0.138577082,0.200193484,0.353685746,0.434537934,0.238294455,0.172354662,0.045713676,0.304079175,0.051110623,0.173606412,0.112836248,0.248123705,0.054698262,0.088694,0.279867196,0.328782357,0.037918395,0.395164682,0.31552286,0.01767068,0,0.267649198,0.222492883,0.202402105,0.173784273,0.353594308,0.19708457,0.340316165,0.110590956,0.163418245,0.297920083,0.357127108,0.171802739,0.000415962,0.181967308,0.357887555,0.044425857,0.108417141,0.17806694,0.265347968,0.38231633,0.359512866,0,0.108522491,0.140121905,0,0.145612847,0.182363536,0.011363352,0.331982015,0.097747381,0.133212185,0.145571369,0.123778738,0.160403928,0.126046104,0.047041171,0.089568287,0.122080828,0.154375204,0.101304213,0.105179924,0.071679736,0.121335869,0.159403182,0.105222823,0.063960738,0.129576882,0.030844388,0.137273199,0.134617206,0.092821784,0.013627283,0.167617891,0.116701029,0.107037643,0.174955076,0.126820826,0.048054118,0.051891558,0.082892784,0.065989021,0.154725871,0.152512653,0.072290288,0.122558676,0.182731894,0.171442123,0.284821339
159_TM_(CVD),0.408872306,0.157990109,0.439680507,0.659348673,0.22092786,0.00052877,0.062341888,0.250167309,0.179779197,0.510256011,0.550400897,0.475130324,0.604444528,0.569749564,0.54848968,0.598185369,0.721708119,0.093836573,0.321825216,0.452260667,0.607156592,0.420885316,0.750743704,0.311586685,0.258457331,0.256965649,0.406212761,0.050492651,0.467096685,0.684386862,0.29501801,0.229941716,0.154884893,0.292810762,0.222536701,0.366324258,0,0.203852455,0.501518175,0,0.559602709,0.571590237,0.295961629,0.387669603,0.522108666,0.484779019,0.5313111,0.443593685,0.306269772,0.178583987,0.324767558,0.190206363,0.608997887,0.310924129,0.251897971,0.284736724,0.494054483,0.474250853,0.327094892,0.127282275,0.089369608,0.238141224,0.172297791,0.44729461,0.45327066,0.220078534,0.336077613,0.194144714,0.288808393,0.066462796,0.213126532,0.207500153,0.197326658,0.289348817,0.123364414,0.212177593,0.262579655,0.252184809,0.136087423,0.248322907,0.206450084,0.260290545,0.029328231,0.176280271,0.324331863,0.346318009,0.146397534,0.057237539,0.160298144,0.130106505,0.164909927,0.174940554,0.301913106,0.37841869,0.134051381,0.160376457,0.167284187,0.254122752,0.077927772,0.241366521,0.077579728,0.194679855,0.078440552,0.136844555,0.338548145,0.4654779,0.076335416,0.453848376,0.218535886,0,0.062204218,0.146235003,0.329432482,0.334212079,0.153295261,0.250654903,0.376022055,0.322914765,0.163918269,0.17007705,0.277210878,0.329207487,0.124990968,0,0.116755953,0.384288768,0.115295969,0.149375925,0.161658673,0.253597245,0.423524039,0.416796865,0,0.188736124,0.092082604,0,0.156446186,0.176810439,0.075023047,0.368720894,0.049377846,0.067884497,0.080832085,0.059842034,0.093673432,0.060874388,0.047937942,0.089251517,0.025675352,0.090220554,0.109939707,0.086939407,0.003016692,0.115971032,0.050528221,0.124835094,0.050924956,0.041219204,0.078957364,0.063559531,0.02606504,0.05807183,0.051106515,0.08460945,0.055950545,0.011893796,0.09894886,0.071005166,0.0183373,0.026141572,0.031674233,0.087618084,0.093760333,0.10705241,0.007684844,0.099368931,0.14277257,0.140237725,0.203902961
