ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	OMIM_DISEASE	REACTOME_PATHWAY
CXCL6	C-X-C motif chemokine ligand 6(CXCL6)	Homo sapiens	"GO:0002446~neutrophil mediated immunity,GO:0002690~positive regulation of leukocyte chemotaxis,GO:0006935~chemotaxis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007165~signal transduction,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007267~cell-cell signaling,GO:0032496~response to lipopolysaccharide,GO:0042127~regulation of cell proliferation,GO:0042742~defense response to bacterium,GO:0060326~cell chemotaxis,GO:0070098~chemokine-mediated signaling pathway,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,"	"GO:0008009~chemokine activity,GO:0008201~heparin binding,GO:0045236~CXCR chemokine receptor binding,"	"hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa05133:Pertussis,hsa05323:Rheumatoid arthritis,"		"R-HSA-380108:R-HSA-380108,R-HSA-418594:R-HSA-418594,"
CD6	CD6 molecule(CD6)	Homo sapiens	"GO:0001771~immunological synapse formation,GO:0002250~adaptive immune response,GO:0002438~acute inflammatory response to antigenic stimulus,GO:0006898~receptor-mediated endocytosis,GO:0007157~heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0032496~response to lipopolysaccharide,GO:0042102~positive regulation of T cell proliferation,GO:0045087~innate immune response,GO:1900017~positive regulation of cytokine production involved in inflammatory response,"	"GO:0001772~immunological synapse,GO:0005576~extracellular region,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031226~intrinsic component of plasma membrane,GO:0042101~T cell receptor complex,"	"GO:0001530~lipopolysaccharide binding,GO:0005044~scavenger receptor activity,GO:0005515~protein binding,GO:0070891~lipoteichoic acid binding,"	"hsa04514:Cell adhesion molecules (CAMs),"		
CDCP1	CUB domain containing protein 1(CDCP1)	Homo sapiens		"GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,"	"GO:0005515~protein binding,"			
S100A12	S100 calcium binding protein A12(S100A12)	Homo sapiens	"GO:0002548~monocyte chemotaxis,GO:0006805~xenobiotic metabolic process,GO:0006954~inflammatory response,GO:0030593~neutrophil chemotaxis,GO:0031640~killing of cells of other organism,GO:0042742~defense response to bacterium,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043406~positive regulation of MAP kinase activity,GO:0045087~innate immune response,GO:0045576~mast cell activation,GO:0050663~cytokine secretion,GO:0050729~positive regulation of inflammatory response,GO:0050832~defense response to fungus,GO:0051092~positive regulation of NF-kappaB transcription factor activity,"	"GO:0005576~extracellular region,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,"	"GO:0005507~copper ion binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0050786~RAGE receptor binding,"			"R-HSA-1810476:R-HSA-1810476,R-HSA-3134963:R-HSA-3134963,R-HSA-445989:R-HSA-445989,R-HSA-879415:R-HSA-879415,R-HSA-933542:R-HSA-933542,"
STAMBP	STAM binding protein(STAMBP)	Homo sapiens	"GO:0000281~mitotic cytokinesis,GO:0007259~JAK-STAT cascade,GO:0008284~positive regulation of cell proliferation,GO:0014067~negative regulation of phosphatidylinositol 3-kinase signaling,GO:0016579~protein deubiquitination,GO:0043524~negative regulation of neuron apoptotic process,GO:0046580~negative regulation of Ras protein signal transduction,"	"GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005769~early endosome,GO:0005886~plasma membrane,GO:0032154~cleavage furrow,GO:0070062~extracellular exosome,"	"GO:0004843~thiol-dependent ubiquitin-specific protease activity,GO:0005515~protein binding,GO:0008237~metallopeptidase activity,GO:0019904~protein domain specific binding,GO:0046872~metal ion binding,"	"hsa04144:Endocytosis,"	"614261~Microcephaly-capillary malformation syndrome,"	
ADA	adenosine deaminase(ADA)	Homo sapiens	"GO:0001666~response to hypoxia,GO:0001821~histamine secretion,GO:0001829~trophectodermal cell differentiation,GO:0001889~liver development,GO:0001890~placenta development,GO:0002314~germinal center B cell differentiation,GO:0002636~positive regulation of germinal center formation,GO:0002686~negative regulation of leukocyte migration,GO:0002906~negative regulation of mature B cell apoptotic process,GO:0006154~adenosine catabolic process,GO:0006157~deoxyadenosine catabolic process,GO:0007568~aging,GO:0009168~purine ribonucleoside monophosphate biosynthetic process,GO:0010460~positive regulation of heart rate,GO:0030890~positive regulation of B cell proliferation,GO:0032261~purine nucleotide salvage,GO:0033089~positive regulation of T cell differentiation in thymus,GO:0033197~response to vitamin E,GO:0033632~regulation of cell-cell adhesion mediated by integrin,GO:0042110~T cell activation,GO:0042323~negative regulation of circadian sleep/wake cycle, non-REM sleep,GO:0042493~response to drug,GO:0042542~response to hydrogen peroxide,GO:0043101~purine-containing compound salvage,GO:0043103~hypoxanthine salvage,GO:0043278~response to morphine,GO:0045987~positive regulation of smooth muscle contraction,GO:0046061~dATP catabolic process,GO:0046101~hypoxanthine biosynthetic process,GO:0046103~inosine biosynthetic process,GO:0046111~xanthine biosynthetic process,GO:0046638~positive regulation of alpha-beta T cell differentiation,GO:0048286~lung alveolus development,GO:0048541~Peyer's patch development,GO:0048566~embryonic digestive tract development,GO:0050728~negative regulation of inflammatory response,GO:0050850~positive regulation of calcium-mediated signaling,GO:0050862~positive regulation of T cell receptor signaling pathway,GO:0060169~negative regulation of adenosine receptor signaling pathway,GO:0060407~negative regulation of penile erection,GO:0070244~negative regulation of thymocyte apoptotic process,GO:0070256~negative regulation of mucus secretion,"	"GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0030054~cell junction,GO:0032839~dendrite cytoplasm,GO:0043025~neuronal cell body,GO:0060205~cytoplasmic membrane-bounded vesicle lumen,"	"GO:0001883~purine nucleoside binding,GO:0004000~adenosine deaminase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019239~deaminase activity,"	"hsa00230:Purine metabolism,hsa01100:Metabolic pathways,hsa05340:Primary immunodeficiency,"	"102700~Adenosine deaminase deficiency, partial,102700~Severe combined immunodeficiency due to ADA deficiency,"	"R-HSA-74217:R-HSA-74217,"
AGER	advanced glycosylation end-product specific receptor(AGER)	Homo sapiens	"GO:0001666~response to hypoxia,GO:0001914~regulation of T cell mediated cytotoxicity,GO:0006954~inflammatory response,GO:0007166~cell surface receptor signaling pathway,GO:0009611~response to wounding,GO:0014002~astrocyte development,GO:0031175~neuron projection development,GO:0032693~negative regulation of interleukin-10 production,GO:0032735~positive regulation of interleukin-12 production,GO:0042104~positive regulation of activated T cell proliferation,GO:0043507~positive regulation of JUN kinase activity,GO:0045087~innate immune response,GO:0050930~induction of positive chemotaxis,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051101~regulation of DNA binding,GO:0071639~positive regulation of monocyte chemotactic protein-1 production,GO:0072657~protein localization to membrane,GO:1904597~negative regulation of connective tissue replacement involved in inflammatory response wound healing,GO:1904604~negative regulation of advanced glycation end-product receptor activity,GO:2000514~regulation of CD4-positive, alpha-beta T cell activation,GO:2001200~positive regulation of dendritic cell differentiation,"	"GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,"	"GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0042802~identical protein binding,GO:0044548~S100 protein binding,GO:1904599~advanced glycation end-product binding,"			"R-HSA-1810476:R-HSA-1810476,R-HSA-3134963:R-HSA-3134963,R-HSA-445989:R-HSA-445989,R-HSA-879415:R-HSA-879415,R-HSA-933542:R-HSA-933542,"
AGRP	agouti related neuropeptide(AGRP)	Homo sapiens	"GO:0007218~neuropeptide signaling pathway,GO:0007623~circadian rhythm,GO:0007631~feeding behavior,GO:0008343~adult feeding behavior,GO:0009755~hormone-mediated signaling pathway,GO:0032868~response to insulin,GO:0042755~eating behavior,GO:0048571~long-day photoperiodism,GO:0060135~maternal process involved in female pregnancy,GO:0060259~regulation of feeding behavior,GO:2000253~positive regulation of feeding behavior,"	"GO:0005615~extracellular space,GO:0005796~Golgi lumen,GO:0043025~neuronal cell body,GO:0070062~extracellular exosome,"	"GO:0005102~receptor binding,GO:0005184~neuropeptide hormone activity,"	"hsa04920:Adipocytokine signaling pathway,"	"601665~Obesity, late-onset,Leanness, inherited~Leanness, inherited,"	
CTSD	cathepsin D(CTSD)	Homo sapiens	"GO:0006508~proteolysis,GO:0006914~autophagy,GO:0019886~antigen processing and presentation of exogenous peptide antigen via MHC class II,GO:0030163~protein catabolic process,GO:0030574~collagen catabolic process,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005764~lysosome,GO:0031012~extracellular matrix,GO:0042470~melanosome,GO:0043202~lysosomal lumen,GO:0045121~membrane raft,GO:0070062~extracellular exosome,"	"GO:0004190~aspartic-type endopeptidase activity,GO:0004197~cysteine-type endopeptidase activity,GO:0004252~serine-type endopeptidase activity,GO:0005515~protein binding,"	"hsa04071:Sphingolipid signaling pathway,hsa04142:Lysosome,hsa05152:Tuberculosis,"	"610127~Ceroid lipofuscinosis, neuronal, 10,"	"R-HSA-1442490:R-HSA-1442490,R-HSA-2022377:R-HSA-2022377,R-HSA-2132295:R-HSA-2132295,"
CST5	cystatin D(CST5)	Homo sapiens	"GO:2000117~negative regulation of cysteine-type endopeptidase activity,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0070062~extracellular exosome,"	"GO:0002020~protease binding,GO:0004869~cysteine-type endopeptidase inhibitor activity,GO:0005515~protein binding,"	"hsa04970:Salivary secretion,"		
DKK1	dickkopf WNT signaling pathway inhibitor 1(DKK1)	Homo sapiens	"GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000904~cell morphogenesis involved in differentiation,GO:0001706~endoderm formation,GO:0001707~mesoderm formation,GO:0001942~hair follicle development,GO:0002090~regulation of receptor internalization,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030326~embryonic limb morphogenesis,GO:0030514~negative regulation of BMP signaling pathway,GO:0030900~forebrain development,GO:0032091~negative regulation of protein binding,GO:0032526~response to retinoic acid,GO:0033137~negative regulation of peptidyl-serine phosphorylation,GO:0042662~negative regulation of mesodermal cell fate specification,GO:0042663~regulation of endodermal cell fate specification,GO:0048642~negative regulation of skeletal muscle tissue development,GO:0050807~regulation of synapse organization,GO:0051966~regulation of synaptic transmission, glutamatergic,GO:0060325~face morphogenesis,GO:0060394~negative regulation of pathway-restricted SMAD protein phosphorylation,GO:0061743~motor learning,GO:0090082~positive regulation of heart induction by negative regulation of canonical Wnt signaling pathway,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090244~Wnt signaling pathway involved in somitogenesis,GO:0098883~synapse disassembly,GO:1900116~extracellular negative regulation of signal transduction,GO:1901296~negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment,GO:1904338~regulation of dopaminergic neuron differentiation,GO:1904723~negative regulation of Wnt-Frizzled-LRP5/6 complex assembly,GO:1904958~positive regulation of midbrain dopaminergic neuron differentiation,GO:2000726~negative regulation of cardiac muscle cell differentiation,"	"GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0031901~early endosome membrane,"	"GO:0004871~signal transducer activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0039706~co-receptor binding,GO:0048019~receptor antagonist activity,GO:0050750~low-density lipoprotein particle receptor binding,"	"hsa04310:Wnt signaling pathway,"		"R-HSA-201681:R-HSA-201681,R-HSA-3772470:R-HSA-3772470,R-HSA-5339717:R-HSA-5339717,"
ESM1	endothelial cell specific molecule 1(ESM1)	Homo sapiens	"GO:0001525~angiogenesis,GO:0001558~regulation of cell growth,GO:0002040~sprouting angiogenesis,GO:0008284~positive regulation of cell proliferation,GO:1902204~positive regulation of hepatocyte growth factor receptor signaling pathway,"	"GO:0005576~extracellular region,"	"GO:0005171~hepatocyte growth factor receptor binding,GO:0005178~integrin binding,GO:0005520~insulin-like growth factor binding,"			
